,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1969-70,22.0,CIN,NBA,PG,81.0,2895.0,9.8,0.454,0.299,,,,20.5,,,,,,-0.4,2.5,2.1,0.035,,,,,
1,1970-71,23.0,CIN,NBA,SG,82.0,3324.0,16.2,0.494,0.387,,,7.9,30.7,,,,,,3.0,3.0,6.0,0.086,,,,,
2,1971-72,24.0,TOT,NBA,PG,79.0,2415.0,16.0,0.507,0.394,,,7.1,29.8,,,,,,2.6,5.1,7.7,0.152,,,,,
3,1971-72,24.0,CIN,NBA,PG,10.0,275.0,9.9,0.366,0.244,,,10.5,24.1,,,,,,-0.5,0.1,-0.4,-0.07,,,,,
4,1971-72,24.0,CHI,NBA,PG,69.0,2140.0,16.8,0.524,0.414,,,6.7,30.5,,,,,,3.1,4.9,8.1,0.181,,,,,
5,1972-73,25.0,CHI,NBA,PG,80.0,2882.0,15.7,0.481,0.198,,,7.6,27.6,,,,,,2.0,5.7,7.7,0.129,,,,,
6,1973-74,26.0,CHI,NBA,PG,80.0,2863.0,15.5,0.47,0.352,4.1,9.7,6.8,28.0,2.6,0.1,,,,0.8,4.4,5.2,0.087,,-0.5,1.0,0.5,1.8
7,1974-75,27.0,CHI,NBA,PG,70.0,2590.0,15.5,0.477,0.307,3.5,9.8,6.7,24.3,2.6,0.3,,,,1.8,3.8,5.6,0.104,,-0.5,0.8,0.2,1.5
8,1975-76,28.0,CHI,NBA,PG,76.0,3026.0,13.0,0.424,0.323,4.3,9.7,6.8,24.8,2.4,0.5,,,,-0.2,3.3,3.2,0.051,,-1.6,0.6,-1.0,0.8
9,1976-77,29.0,CHI,NBA,PG,82.0,3097.0,13.4,0.485,0.42,3.6,8.9,6.2,28.4,2.0,0.3,,,,1.9,3.6,5.5,0.085,,-1.0,0.5,-0.5,1.1
10,1977-78,30.0,CHI,NBA,PG,78.0,2524.0,11.7,0.495,0.48,3.7,8.5,6.1,27.6,2.7,0.1,25.7,12.4,,1.8,2.0,3.8,0.073,,-1.3,0.7,-0.6,0.9
11,1978-79,31.0,MIL,NBA,PG,38.0,555.0,11.0,0.536,0.675,1.6,6.4,4.0,30.7,3.5,0.3,32.9,10.4,,0.5,0.6,1.1,0.093,,-2.8,1.8,-1.0,0.1
12,Career,,,NBA,,746.0,26171.0,14.0,0.476,0.343,3.8,9.2,6.9,27.0,2.5,0.3,26.9,12.1,,13.7,34.1,47.8,0.088,,-1.1,0.8,-0.3,6.2
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7 seasons,,CHI,NBA,,535.0,19122.0,14.4,0.476,0.338,3.9,9.3,6.7,27.2,2.4,0.3,25.7,12.4,,11.2,27.8,39.1,0.098,,-1.0,0.7,-0.3,6.1
15,3 seasons,,CIN,NBA,,173.0,6494.0,13.1,0.473,0.347,,,8.1,25.9,,,,,,2.0,5.6,7.7,0.057,,,,,
16,1 season,,MIL,NBA,,38.0,555.0,11.0,0.536,0.675,1.6,6.4,4.0,30.7,3.5,0.3,32.9,10.4,,0.5,0.6,1.1,0.093,,-2.8,1.8,-1.0,0.1
