,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1962-63,26.0,SYR,NBA,PF,26.0,206.0,16.8,0.494,,0.315,,,,,,,,0.2,0.3,0.5,0.117,
1,1963-64,27.0,PHI,NBA,PF,79.0,1740.0,13.5,0.517,,0.617,,,,,,,,2.4,1.4,3.8,0.104,
2,1964-65,28.0,PHI,NBA,SF,64.0,900.0,11.2,0.472,,0.696,,,,7.6,,,,0.6,0.9,1.5,0.08,
3,1965-66,29.0,TOT,NBA,SF,57.0,773.0,9.6,0.453,,0.342,,,,4.1,,,,0.0,0.5,0.6,0.034,
4,1965-66,29.0,PHI,NBA,SF,1.0,6.0,5.2,0.333,,0.0,,,,0.0,,,,0.0,0.0,0.0,-0.091,
5,1965-66,29.0,BAL,NBA,SF,56.0,767.0,9.6,0.454,,0.345,,,,4.2,,,,0.1,0.5,0.6,0.035,
6,1966-67,30.0,BAL,NBA,SF,62.0,1037.0,11.7,0.496,,0.545,,,,6.0,,,,0.9,0.8,1.7,0.078,
7,1967-68,31.0,ANA,ABA,SF,71.0,2297.0,18.2,0.534,0.169,0.395,,,11.6,6.4,12.2,20.7,,5.6,0.7,6.3,0.132,
8,1968-69,32.0,LAS,ABA,SF,35.0,876.0,15.5,0.5,0.286,0.366,,,10.1,4.6,9.7,22.8,,0.9,0.4,1.4,0.075,
9,1969-70,33.0,DNR,ABA,SF,42.0,475.0,9.6,0.474,0.341,0.447,,,10.2,8.0,15.0,18.7,,0.1,0.7,0.8,0.077,
10,Career,,,TOT,,436.0,8304.0,14.0,0.505,0.114,0.463,,,11.0,6.1,11.9,20.9,,10.7,5.7,16.4,0.095,
11,,,,NBA,,288.0,4656.0,12.2,0.491,,0.539,,,,6.0,,,,4.1,3.9,8.0,0.083,
12,,,,ABA,,148.0,3648.0,16.4,0.518,0.219,0.393,,,11.0,6.2,11.9,20.9,,6.6,1.8,8.4,0.111,
13,,,,,,,,,,,,,,,,,,,,,,,
14,4 seasons,,"SYR,PHI",NBA,,170.0,2852.0,13.0,0.5,,0.599,,,,7.5,,,,3.2,2.5,5.8,0.097,
15,2 seasons,,BAL,NBA,,118.0,1804.0,10.8,0.477,,0.45,,,,5.2,,,,0.9,1.3,2.2,0.06,
16,2 seasons,,"ANA,LAS",ABA,,106.0,3173.0,17.5,0.524,0.204,0.386,,,11.2,5.9,11.5,21.3,,6.5,1.1,7.7,0.116,
17,1 season,,DNR,ABA,,42.0,475.0,9.6,0.474,0.341,0.447,,,10.2,8.0,15.0,18.7,,0.1,0.7,0.8,0.077,
