,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1966-67,22.0,STL,NBA,SG,55.0,676.0,12.3,0.464,0.183,,,,12.6,,,,,,0.2,0.4,0.6,0.045,,,,,
1,1967-68,23.0,STL,NBA,SG,75.0,1622.0,10.4,0.468,0.272,,,,14.0,,,,,,0.4,1.3,1.8,0.052,,,,,
2,1968-69,24.0,PHO,NBA,SF,81.0,2108.0,13.9,0.513,0.301,,,,14.2,,,,,,3.2,0.6,3.7,0.085,,,,,
3,1969-70,25.0,TOT,NBA,SG,82.0,2437.0,14.3,0.566,0.241,,,,18.7,,,,,,4.9,1.3,6.2,0.121,,,,,
4,1969-70,25.0,PHO,NBA,,6.0,147.0,8.3,0.526,0.178,,,,7.9,,,,,,0.1,0.0,0.2,0.058,,,,,
5,1969-70,25.0,SEA,NBA,SG,76.0,2290.0,14.7,0.568,0.244,,,,19.4,,,,,,4.8,1.2,6.0,0.125,,,,,
6,1970-71,26.0,SEA,NBA,SG,82.0,2824.0,17.4,0.579,0.297,,,4.2,17.8,,,,,,8.8,1.2,10.0,0.17,,,,,
7,1971-72,27.0,SEA,NBA,SG,73.0,2534.0,15.8,0.576,0.276,,,4.3,16.4,,,,,,6.7,1.3,8.0,0.152,,,,,
8,1972-73,28.0,SEA,NBA,SG,82.0,3060.0,12.0,0.507,0.211,,,5.0,14.2,,,,,,3.2,0.9,4.1,0.065,,,,,
9,1973-74,29.0,SEA,NBA,SG,74.0,2670.0,14.5,0.52,0.188,3.1,8.2,5.6,14.3,1.5,0.5,,,,4.4,1.6,6.0,0.107,,0.2,-0.3,-0.1,1.3
10,1974-75,30.0,CLE,NBA,SG,82.0,2590.0,15.1,0.541,0.197,1.5,8.3,4.9,16.3,1.3,0.9,,,,4.6,1.8,6.4,0.118,,0.7,0.0,0.7,1.8
11,1975-76,31.0,CLE,NBA,SG,82.0,2274.0,14.7,0.538,0.213,2.2,6.9,4.5,14.0,1.2,0.8,,,,4.4,1.8,6.2,0.131,,0.7,0.1,0.7,1.6
12,1976-77,32.0,CLE,NBA,SG,82.0,1685.0,13.3,0.5,0.215,2.7,6.4,4.5,13.9,1.3,1.0,,,,2.2,1.2,3.4,0.097,,-0.4,-0.1,-0.6,0.6
13,1977-78,33.0,CLE,NBA,SG,58.0,660.0,12.0,0.5,0.254,1.4,6.2,3.8,12.0,1.6,1.5,14.6,19.7,,0.3,0.6,0.9,0.067,,-1.7,0.5,-1.2,0.1
14,1978-79,34.0,SEA,NBA,SG,56.0,536.0,10.8,0.489,0.273,2.9,6.5,4.7,16.0,1.2,0.6,14.7,17.9,,0.3,0.6,0.9,0.08,,-2.0,0.1,-1.9,0.0
15,Career,,,NBA,,964.0,25676.0,14.1,0.531,0.239,2.3,7.4,4.7,15.4,1.3,0.8,14.6,18.9,,43.7,14.6,58.3,0.109,,0.1,-0.1,0.1,5.4
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6 seasons,,SEA,NBA,,443.0,13914.0,14.7,0.547,0.244,3.1,7.9,4.8,16.3,1.4,0.5,14.7,17.9,,28.2,6.8,35.0,0.121,,-0.1,-0.2,-0.4,1.3
18,4 seasons,,CLE,NBA,,304.0,7209.0,14.3,0.526,0.212,2.0,7.2,4.6,14.6,1.3,0.9,14.6,19.7,,11.5,5.4,16.9,0.113,,0.2,0.0,0.2,4.1
19,2 seasons,,STL,NBA,,130.0,2298.0,10.9,0.467,0.241,,,,13.6,,,,,,0.6,1.8,2.4,0.05,,,,,
20,2 seasons,,PHO,NBA,,87.0,2255.0,13.5,0.514,0.295,,,,13.8,,,,,,3.3,0.6,3.9,0.083,,,,,
