,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1978-79,22.0,TOT,NBA,PF,14.0,113.0,13.7,0.446,0.411,16.5,21.9,19.1,6.0,0.8,0.9,9.6,24.7,,0.0,0.1,0.2,0.064,,-3.1,-0.9,-4.0,-0.1
1,1978-79,22.0,MIL,NBA,PF,3.0,22.0,8.0,0.455,0.0,25.1,10.0,17.6,6.0,0.0,0.0,15.4,23.0,,0.0,0.0,0.0,0.024,,-4.5,-0.6,-5.1,0.0
2,1978-79,22.0,DET,NBA,PF,11.0,91.0,15.1,0.444,0.511,14.4,24.8,19.4,6.0,1.0,1.1,8.3,25.2,,0.0,0.1,0.1,0.074,,-2.8,-1.0,-3.8,0.0
3,Career,,,NBA,,14.0,113.0,13.7,0.446,0.411,16.5,21.9,19.1,6.0,0.8,0.9,9.6,24.7,,0.0,0.1,0.2,0.064,,-3.1,-0.9,-4.0,-0.1
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1 season,,DET,NBA,,11.0,91.0,15.1,0.444,0.511,14.4,24.8,19.4,6.0,1.0,1.1,8.3,25.2,,0.0,0.1,0.1,0.074,,-2.8,-1.0,-3.8,0.0
6,1 season,,MIL,NBA,,3.0,22.0,8.0,0.455,0.0,25.1,10.0,17.6,6.0,0.0,0.0,15.4,23.0,,0.0,0.0,0.0,0.024,,-4.5,-0.6,-5.1,0.0
