,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1962-63,22.0,CIN,NBA,PF,52.0,373.0,7.9,0.376,,0.293,,,,,,,,-0.6,0.3,-0.3,-0.043,
1,1963-64,23.0,CIN,NBA,PF,49.0,513.0,10.9,0.43,,0.271,,,,,,,,-0.2,0.5,0.2,0.022,
2,1964-65,24.0,CIN,NBA,PF,79.0,1372.0,13.0,0.495,,0.381,,,,8.3,,,,1.7,0.7,2.5,0.087,
3,1965-66,25.0,TOT,NBA,PF,59.0,602.0,9.5,0.434,,0.456,,,,4.2,,,,-0.2,0.6,0.4,0.035,
4,1965-66,25.0,CIN,NBA,PF,4.0,36.0,8.1,0.376,,0.375,,,,6.5,,,,0.0,0.0,0.0,-0.006,
5,1965-66,25.0,SFW,NBA,PF,55.0,566.0,9.6,0.436,,0.459,,,,4.0,,,,-0.2,0.6,0.4,0.037,
6,1966-67,26.0,SFW,NBA,PF,40.0,348.0,13.4,0.449,,0.347,,,,12.1,,,,-0.1,0.5,0.5,0.068,
7,1967-68,27.0,SEA,NBA,PF,73.0,897.0,8.5,0.444,,0.218,,,,10.3,,,,-0.2,0.5,0.2,0.012,
8,1968-69,28.0,TOT,NBA,PF,17.0,113.0,6.7,0.341,,0.429,,,,12.5,,,,-0.3,0.1,-0.2,-0.077,
9,1968-69,28.0,BOS,NBA,PF,7.0,43.0,7.8,0.323,,0.316,,,,12.6,,,,-0.2,0.1,-0.1,-0.065,
10,1968-69,28.0,DET,NBA,PF,10.0,70.0,6.1,0.354,,0.522,,,,12.5,,,,-0.1,0.0,-0.1,-0.084,
11,1969-70,29.0,KEN,ABA,PF,84.0,1375.0,11.5,0.474,0.012,0.221,,,11.9,23.6,23.8,12.5,,0.3,2.5,2.8,0.099,
12,Career,,,TOT,,453.0,5593.0,10.9,0.454,0.002,0.315,,,11.9,13.0,23.8,12.5,,0.4,5.8,6.2,0.053,
13,,,,NBA,,369.0,4218.0,10.7,0.45,,0.335,,,,8.6,,,,0.1,3.2,3.4,0.038,
14,,,,ABA,,84.0,1375.0,11.5,0.474,0.012,0.221,,,11.9,23.6,23.8,12.5,,0.3,2.5,2.8,0.099,
15,,,,,,,,,,,,,,,,,,,,,,,
16,4 seasons,,CIN,NBA,,184.0,2294.0,11.6,0.461,,0.341,,,,8.3,,,,0.9,1.5,2.4,0.05,
17,2 seasons,,SFW,NBA,,95.0,914.0,11.1,0.442,,0.406,,,,7.1,,,,-0.2,1.2,0.9,0.049,
18,1 season,,KEN,ABA,,84.0,1375.0,11.5,0.474,0.012,0.221,,,11.9,23.6,23.8,12.5,,0.3,2.5,2.8,0.099,
19,1 season,,SEA,NBA,,73.0,897.0,8.5,0.444,,0.218,,,,10.3,,,,-0.2,0.5,0.2,0.012,
20,1 season,,DET,NBA,,10.0,70.0,6.1,0.354,,0.522,,,,12.5,,,,-0.1,0.0,-0.1,-0.084,
21,1 season,,BOS,NBA,,7.0,43.0,7.8,0.323,,0.316,,,,12.6,,,,-0.2,0.1,-0.1,-0.065,
