,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1974-75,23.0,PHI,NBA,SG,54,538,12.6,0.428,0.065,2.6,3.0,2.8,14.7,1.7,0.3,,-0.2,0.3,0.0,0.004,,-1.9,-1.4,-3.3,-0.2
1,Career,,,NBA,,54,538,12.6,0.428,0.065,2.6,3.0,2.8,14.7,1.7,0.3,,-0.2,0.3,0.0,0.004,,-1.9,-1.4,-3.3,-0.2
