,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,25.0,TOT,BAA,,31.0,,,0.215,0.12,,,,,,-0.6,0.2,-0.5,,
1,1946-47,25.0,NYK,BAA,,24.0,,,0.266,0.086,,,,,,-0.2,0.1,-0.1,,
2,1946-47,25.0,BOS,BAA,,7.0,,,0.053,0.235,,,,,,-0.4,0.0,-0.4,,
3,Career,,,BAA,,31.0,,,0.215,0.12,,,,,,-0.6,0.2,-0.5,,
4,,,,,,,,,,,,,,,,,,,,
5,1 season,,NYK,BAA,,24.0,,,0.266,0.086,,,,,,-0.2,0.1,-0.1,,
6,1 season,,BOS,BAA,,7.0,,,0.053,0.235,,,,,,-0.4,0.0,-0.4,,
