,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1973-74,23.0,KCO,NBA,PF,54.0,516.0,20.9,0.552,0.636,12.2,17.5,14.8,7.2,3.1,0.6,,,,0.9,0.6,1.5,0.142,,1.2,-0.1,1.1,0.4
1,1974-75,24.0,KCO,NBA,PF,80.0,1749.0,15.5,0.52,0.374,8.8,20.6,14.7,6.4,1.8,0.8,,,,2.0,2.4,4.4,0.121,,-0.6,-0.2,-0.9,0.5
2,1975-76,25.0,KCK,NBA,PF,82.0,1613.0,17.0,0.546,0.448,9.8,22.6,16.2,6.7,1.4,1.1,,,,2.6,1.8,4.3,0.129,,-0.3,-0.8,-1.1,0.4
3,1976-77,26.0,TOT,NBA,PF,24.0,230.0,19.6,0.526,0.545,12.0,21.1,16.5,4.0,2.0,0.5,,,,0.4,0.3,0.7,0.15,,-1.4,-0.8,-2.1,0.1
4,1976-77,26.0,NYN,NBA,PF,8.0,93.0,18.1,0.467,0.588,10.4,18.4,14.2,5.5,2.0,0.6,,,,0.0,0.1,0.1,0.057,,-2.6,-0.7,-3.3,0.0
5,1976-77,26.0,GSW,NBA,PF,16.0,137.0,20.6,0.576,0.508,13.2,23.0,18.1,3.0,2.0,0.4,,,,0.4,0.2,0.6,0.214,,-0.5,-0.8,-1.4,0.1
6,1977-78,27.0,TOT,NBA,PF,46.0,940.0,15.3,0.542,0.492,9.2,13.8,11.5,7.3,0.9,0.6,13.4,21.2,,1.8,0.5,2.3,0.117,,0.4,-1.5,-1.1,0.2
7,1977-78,27.0,GSW,NBA,PF,9.0,67.0,6.5,0.512,1.056,3.0,18.6,10.6,3.7,0.0,0.8,21.0,19.5,,0.0,0.1,0.1,0.036,,-4.7,-0.5,-5.2,-0.1
8,1977-78,27.0,BUF,NBA,PF,37.0,873.0,16.0,0.543,0.462,9.6,13.4,11.5,7.5,0.9,0.6,12.9,21.4,,1.8,0.4,2.2,0.123,,0.8,-1.6,-0.8,0.3
9,1978-79,28.0,DET,NBA,PF,11.0,46.0,16.5,0.574,0.6,6.6,16.4,11.3,8.8,0.0,0.0,13.7,24.2,,0.1,0.0,0.1,0.148,,-3.2,-0.4,-3.6,0.0
10,Career,,,NBA,,297.0,5094.0,16.7,0.537,0.46,9.7,19.7,14.6,6.6,1.6,0.8,13.4,21.4,,7.9,5.6,13.4,0.127,,-0.2,-0.7,-0.9,1.5
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3 seasons,,"KCO,KCK",NBA,,216.0,3878.0,16.8,0.536,0.443,9.7,21.0,15.3,6.6,1.8,0.9,,,,5.5,4.8,10.3,0.128,,-0.2,-0.4,-0.7,1.3
13,1 season,,BUF,NBA,,37.0,873.0,16.0,0.543,0.462,9.6,13.4,11.5,7.5,0.9,0.6,12.9,21.4,,1.8,0.4,2.2,0.123,,0.8,-1.6,-0.8,0.3
14,2 seasons,,GSW,NBA,,25.0,204.0,16.0,0.559,0.633,9.8,21.5,15.6,3.2,1.3,0.5,21.0,19.5,,0.4,0.2,0.7,0.155,,-1.9,-0.7,-2.6,0.0
15,1 season,,DET,NBA,,11.0,46.0,16.5,0.574,0.6,6.6,16.4,11.3,8.8,0.0,0.0,13.7,24.2,,0.1,0.0,0.1,0.148,,-3.2,-0.4,-3.6,0.0
16,1 season,,NYN,NBA,,8.0,93.0,18.1,0.467,0.588,10.4,18.4,14.2,5.5,2.0,0.6,,,,0.0,0.1,0.1,0.057,,-2.6,-0.7,-3.3,0.0
