,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1948-49,28.0,ROC,BAA,PG,60.0,,,0.359,0.227,,,,,,0.0,0.8,0.8,,
1,1949-50,29.0,ROC,NBA,PG,68.0,,,0.388,0.336,,,,,,0.9,1.7,2.5,,
2,1950-51,30.0,ROC,NBA,PG,68.0,,,0.388,0.319,,,,,,-0.2,1.0,0.8,,
3,1951-52,31.0,ROC,NBA,PG,65.0,1065.0,6.7,0.329,0.228,,,,,,-2.1,0.6,-1.5,-0.068,
4,1952-53,32.0,ROC,NBA,PG,46.0,392.0,4.1,0.311,0.255,,,,,,-1.2,0.4,-0.8,-0.102,
5,1953-54,33.0,MLH,NBA,PG,51.0,649.0,10.3,0.383,0.326,,,,,,-0.5,0.5,0.1,0.004,
6,Career,,,TOT,,358.0,2106.0,7.3,0.367,0.283,,,,,,-3.2,5.0,1.8,-0.052,
7,,,,NBA,,298.0,2106.0,7.3,0.37,0.303,,,,,,-3.1,4.2,1.0,-0.052,
8,,,,BAA,,60.0,,,0.359,0.227,,,,,,0.0,0.8,0.8,,
9,,,,,,,,,,,,,,,,,,,,
10,5 seasons,,ROC,BAA,,307.0,1457.0,6.0,0.366,0.279,,,,,,-2.7,4.5,1.8,-0.077,
11,1 season,,MLH,NBA,,51.0,649.0,10.3,0.383,0.326,,,,,,-0.5,0.5,0.1,0.004,
