,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1969-70,23.0,TOT,ABA,SF,82.0,1446.0,11.4,0.51,0.02,0.536,,,9.8,6.9,,16.3,15.1,,1.2,1.7,2.9,0.096,
1,1969-70,23.0,WSA,ABA,SF,5.0,27.0,-0.1,0.4,0.0,0.571,,,6.5,0.0,,25.5,15.5,,0.0,0.0,0.0,-0.044,
2,1969-70,23.0,KEN,ABA,SF,77.0,1419.0,11.6,0.512,0.02,0.535,,,9.9,7.0,,16.1,15.1,,1.2,1.7,2.9,0.099,
3,1971-72,25.0,FLO,ABA,SF,51.0,418.0,10.6,0.474,0.126,0.356,6.8,7.1,7.0,12.9,,11.4,21.0,,0.0,0.3,0.2,0.026,
4,Career,,,ABA,,133.0,1864.0,11.2,0.5,0.052,0.482,6.8,7.1,9.2,8.3,,15.0,16.4,,1.1,2.0,3.1,0.08,
5,,,,,,,,,,,,,,,,,,,,,,,,
6,1 season,,KEN,ABA,,77.0,1419.0,11.6,0.512,0.02,0.535,,,9.9,7.0,,16.1,15.1,,1.2,1.7,2.9,0.099,
7,1 season,,FLO,ABA,,51.0,418.0,10.6,0.474,0.126,0.356,6.8,7.1,7.0,12.9,,11.4,21.0,,0.0,0.3,0.2,0.026,
8,1 season,,WSA,ABA,,5.0,27.0,-0.1,0.4,0.0,0.571,,,6.5,0.0,,25.5,15.5,,0.0,0.0,0.0,-0.044,
