,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1966-67,23.0,STL,NBA,SG,32.0,221.0,8.8,0.351,,0.218,,,,26.5,,,,-0.5,0.2,-0.3,-0.06,
1,1967-68,24.0,SEA,NBA,SG,76.0,1794.0,12.6,0.46,,0.333,,,,19.6,,,,0.2,1.0,1.3,0.034,
2,1968-69,25.0,SEA,NBA,SG,76.0,1124.0,11.6,0.449,,0.368,,,,22.3,,,,0.1,0.7,0.8,0.036,
3,1969-70,26.0,KEN,ABA,SG,40.0,493.0,8.1,0.472,0.129,0.313,,,6.1,22.9,26.1,16.7,,0.1,0.7,0.8,0.08,
4,Career,,,TOT,,224.0,3632.0,11.4,0.451,0.015,0.333,,,6.1,21.3,26.1,16.7,,-0.1,2.7,2.6,0.035,
5,,,,NBA,,184.0,3139.0,12.0,0.449,,0.336,,,,21.0,,,,-0.2,2.0,1.8,0.028,
6,,,,ABA,,40.0,493.0,8.1,0.472,0.129,0.313,,,6.1,22.9,26.1,16.7,,0.1,0.7,0.8,0.08,
7,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,SEA,NBA,,152.0,2918.0,12.2,0.456,,0.345,,,,20.6,,,,0.3,1.8,2.1,0.035,
9,1 season,,KEN,ABA,,40.0,493.0,8.1,0.472,0.129,0.313,,,6.1,22.9,26.1,16.7,,0.1,0.7,0.8,0.08,
10,1 season,,STL,NBA,,32.0,221.0,8.8,0.351,,0.218,,,,26.5,,,,-0.5,0.2,-0.3,-0.06,
