,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1973-74,22.0,GSW,NBA,PF,66.0,930.0,13.4,0.536,0.283,12.8,21.5,17.2,7.1,0.8,0.8,,,,1.3,1.0,2.3,0.116,,-0.1,-0.7,-0.8,0.3
1,1974-75,23.0,GSW,NBA,PF,80.0,1859.0,13.1,0.501,0.174,9.9,19.0,14.4,8.5,1.2,0.5,,,,2.0,1.8,3.8,0.098,,-0.2,-0.8,-1.1,0.4
2,1975-76,24.0,GSW,NBA,PF,79.0,1207.0,13.9,0.494,0.167,9.2,18.4,13.9,9.2,1.0,0.5,,,,1.4,1.7,3.1,0.122,,-0.3,-0.6,-0.9,0.3
3,1976-77,25.0,GSW,NBA,PF,49.0,856.0,14.0,0.485,0.177,11.7,16.6,14.2,9.7,1.0,0.7,,,,0.9,0.8,1.7,0.093,,-0.2,-1.4,-1.6,0.1
4,1977-78,26.0,TOT,NBA,PF,47.0,493.0,10.5,0.477,0.182,7.6,13.2,10.3,6.1,1.3,0.4,15.8,20.4,,-0.1,0.4,0.3,0.033,,-2.6,-1.1,-3.7,-0.2
5,1977-78,26.0,GSW,NBA,PF,22.0,273.0,14.0,0.495,0.131,7.7,10.6,9.1,5.9,1.7,0.4,11.0,22.2,,0.2,0.3,0.5,0.084,,-1.1,-1.0,-2.1,0.0
6,1977-78,26.0,CHI,NBA,PF,25.0,220.0,6.1,0.445,0.279,7.5,16.3,11.9,6.3,0.9,0.5,23.1,18.2,,-0.3,0.1,-0.1,-0.031,,-4.3,-1.3,-5.6,-0.2
7,Career,,,NBA,,321.0,5345.0,13.2,0.498,0.188,10.3,18.4,14.4,8.4,1.1,0.6,15.8,20.4,,5.5,5.6,11.1,0.1,,-0.4,-0.9,-1.3,0.9
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5 seasons,,GSW,NBA,,296.0,5125.0,13.5,0.501,0.184,10.4,18.4,14.5,8.5,1.1,0.6,11.0,22.2,,5.8,5.5,11.3,0.105,,-0.3,-0.9,-1.1,1.1
10,1 season,,CHI,NBA,,25.0,220.0,6.1,0.445,0.279,7.5,16.3,11.9,6.3,0.9,0.5,23.1,18.2,,-0.3,0.1,-0.1,-0.031,,-4.3,-1.3,-5.6,-0.2
