,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1963-64,25.0,BAL,NBA,,2.0,3.0,20.8,1.0,,0.0,,,,,,,,0.0,0.0,0.0,0.514,
1,1967-68,29.0,OAK,ABA,SF,77.0,1589.0,15.1,0.459,0.045,0.123,,,12.3,10.1,12.5,20.8,,0.6,0.4,1.0,0.031,
2,1968-69,30.0,OAK,ABA,SG,51.0,709.0,13.8,0.512,0.008,0.057,,,10.6,10.0,13.8,15.1,,0.7,0.7,1.3,0.088,
3,1969-70,31.0,LAS,ABA,,4.0,53.0,4.4,0.317,0.114,0.086,,,10.8,2.7,9.9,28.1,,-0.3,0.0,-0.2,-0.223,
4,Career,,,TOT,,134.0,2354.0,14.5,0.467,0.038,0.105,,,11.8,9.9,12.7,19.3,,1.0,1.1,2.1,0.043,
5,,,,ABA,,132.0,2351.0,14.5,0.467,0.038,0.105,,,11.8,9.9,12.7,19.3,,1.0,1.1,2.1,0.043,
6,,,,NBA,,2.0,3.0,20.8,1.0,,0.0,,,,,,,,0.0,0.0,0.0,0.514,
7,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,OAK,ABA,,128.0,2298.0,14.7,0.472,0.035,0.106,,,11.8,10.0,12.8,19.0,,1.3,1.1,2.3,0.049,
9,1 season,,LAS,ABA,,4.0,53.0,4.4,0.317,0.114,0.086,,,10.8,2.7,9.9,28.1,,-0.3,0.0,-0.2,-0.223,
10,1 season,,BAL,NBA,,2.0,3.0,20.8,1.0,,0.0,,,,,,,,0.0,0.0,0.0,0.514,
