,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1974-75,23.0,PHO,NBA,SF,69.0,1059.0,13.2,0.467,0.234,7.8,16.8,12.3,11.0,1.8,0.8,,,,0.2,1.1,1.3,0.06,,-1.8,0.0,-1.8,0.1
1,1975-76,24.0,PHO,NBA,SF,17.0,146.0,12.7,0.45,0.172,8.3,19.1,13.8,13.3,1.6,0.4,,,,-0.1,0.2,0.1,0.026,,-3.1,-0.5,-3.7,-0.1
2,1976-77,25.0,BOS,NBA,SF,68.0,1051.0,10.9,0.482,0.134,6.9,13.9,10.4,11.6,1.1,0.3,,,,0.0,1.2,1.2,0.054,,-2.9,0.2,-2.7,-0.2
3,1977-78,26.0,TOT,NBA,SF,56.0,643.0,8.9,0.448,0.154,5.9,10.9,8.5,9.7,1.5,1.1,14.4,17.4,,-0.1,0.6,0.5,0.039,,-3.1,0.2,-2.9,-0.2
4,1977-78,26.0,BOS,NBA,SF,26.0,243.0,4.1,0.376,0.187,4.7,10.6,7.7,6.0,1.3,0.8,16.9,18.9,,-0.5,0.2,-0.3,-0.05,,-5.3,-0.7,-6.0,-0.3
5,1977-78,26.0,NOJ,NBA,SF,30.0,400.0,11.8,0.496,0.133,6.6,11.1,8.9,12.0,1.6,1.2,12.7,16.4,,0.4,0.4,0.8,0.092,,-1.8,0.8,-1.1,0.1
6,Career,,,NBA,,210.0,2899.0,11.4,0.467,0.177,7.1,14.6,10.8,11.0,1.5,0.7,14.4,17.4,,0.0,3.1,3.1,0.051,,-2.6,0.1,-2.5,-0.4
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,BOS,NBA,,94.0,1294.0,9.6,0.461,0.144,6.5,13.3,9.9,10.5,1.1,0.4,16.9,18.9,,-0.5,1.4,0.9,0.035,,-3.4,0.1,-3.3,-0.5
9,2 seasons,,PHO,NBA,,86.0,1205.0,13.1,0.465,0.226,7.9,17.1,12.5,11.3,1.8,0.7,,,,0.1,1.3,1.4,0.056,,-1.9,-0.1,-2.0,0.0
10,1 season,,NOJ,NBA,,30.0,400.0,11.8,0.496,0.133,6.6,11.1,8.9,12.0,1.6,1.2,12.7,16.4,,0.4,0.4,0.8,0.092,,-1.8,0.8,-1.1,0.1
