,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1967-68,26.0,TOT,ABA,C,82.0,2699.0,12.3,0.452,0.0,0.382,,,16.5,5.0,,,16.6,14.9,,0.4,2.2,2.6,0.046,
1,1967-68,26.0,PTP,ABA,C,52.0,1652.0,10.5,0.451,0.0,0.417,,,15.2,3.1,,,17.5,14.3,,0.2,1.9,2.1,0.06,
2,1967-68,26.0,OAK,ABA,C,30.0,1047.0,15.1,0.452,0.0,0.335,,,18.5,8.0,,,15.4,16.0,,0.2,0.3,0.5,0.025,
3,1968-69,27.0,OAK,ABA,C,78.0,2095.0,10.8,0.496,0.0,0.346,,,17.2,5.5,,,25.0,14.5,,1.1,2.4,3.5,0.079,
4,1969-70,28.0,WSA,ABA,C,84.0,2991.0,13.1,0.506,0.0,0.326,,,17.3,8.6,,,21.2,15.3,,2.1,1.4,3.4,0.055,
5,1970-71,29.0,TOT,ABA,C,82.0,2934.0,14.3,0.494,0.005,0.306,,,17.1,9.1,,,17.0,17.2,,1.2,2.8,4.0,0.066,
6,1970-71,29.0,CAR,ABA,C,29.0,892.0,11.5,0.468,0.003,0.284,,,17.2,8.0,,,22.1,16.9,,-0.1,0.9,0.8,0.042,
7,1970-71,29.0,FLO,ABA,C,53.0,2042.0,15.6,0.504,0.006,0.315,,,17.1,9.6,,,14.8,17.3,,1.3,2.0,3.3,0.077,
8,1971-72,30.0,TOT,ABA,C,84.0,2264.0,11.9,0.491,0.001,0.221,10.0,23.1,16.5,7.7,,,18.0,15.5,,0.5,2.2,2.7,0.058,
9,1971-72,30.0,FLO,ABA,C,53.0,1809.0,12.0,0.484,0.002,0.219,10.0,23.8,16.8,7.5,,,17.2,15.9,,0.2,1.7,1.9,0.05,
10,1971-72,30.0,UTS,ABA,C,31.0,455.0,11.3,0.524,0.0,0.229,10.1,20.2,15.4,8.6,,,21.2,14.0,,0.3,0.5,0.9,0.091,
11,1972-73,31.0,TOT,ABA,C,17.0,177.0,2.4,0.383,0.0,0.25,8.8,24.0,16.7,6.1,,,27.7,13.3,,-0.2,0.2,0.0,-0.005,
12,1972-73,31.0,UTS,ABA,C,13.0,100.0,6.2,0.446,0.0,0.273,8.3,26.0,17.7,7.4,,,19.6,12.0,,-0.1,0.1,0.1,0.038,
13,1972-73,31.0,CAR,ABA,C,4.0,77.0,-2.7,0.304,0.0,0.222,9.3,21.4,15.4,4.4,,,35.8,15.0,,-0.2,0.1,-0.1,-0.06,
14,Career,,,ABA,,427.0,13160.0,12.5,0.487,0.002,0.316,9.9,23.1,16.9,7.3,,,19.4,15.5,,5.0,11.2,16.3,0.059,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,3 seasons,,"OAK,WSA",ABA,,192.0,6133.0,12.6,0.493,0.0,0.334,,,17.5,7.4,,,21.5,15.1,,3.4,4.1,7.4,0.058,
17,2 seasons,,FLO,ABA,,106.0,3851.0,13.9,0.496,0.004,0.273,10.0,23.8,16.9,8.6,,,15.8,16.6,,1.5,3.6,5.1,0.064,
18,1 season,,PTP,ABA,,52.0,1652.0,10.5,0.451,0.0,0.417,,,15.2,3.1,,,17.5,14.3,,0.2,1.9,2.1,0.06,
19,2 seasons,,UTS,ABA,,44.0,555.0,10.4,0.511,0.0,0.236,9.8,21.2,15.8,8.4,,,21.0,13.6,,0.3,0.7,0.9,0.081,
20,2 seasons,,CAR,ABA,,33.0,969.0,10.3,0.458,0.003,0.28,9.3,21.4,17.1,7.8,,,23.0,16.8,,-0.3,1.0,0.7,0.034,
