,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1948-49,29.0,INJ,BAA,,56.0,,,0.381,0.381,,,,,,0.7,1.5,2.1,,
1,1949-50,30.0,TOT,NBA,,25.0,,,0.37,0.427,,,,,,-0.1,0.3,0.3,,
2,1949-50,30.0,WSC,NBA,,22.0,,,0.396,0.462,,,,,,0.1,0.3,0.4,,
3,1949-50,30.0,BLB,NBA,,3.0,,,0.184,0.2,,,,,,-0.2,0.0,-0.1,,
4,Career,,,TOT,,81.0,,,0.379,0.39,,,,,,0.6,1.8,2.4,,
5,,,,BAA,,56.0,,,0.381,0.381,,,,,,0.7,1.5,2.1,,
6,,,,NBA,,25.0,,,0.37,0.427,,,,,,-0.1,0.3,0.3,,
7,,,,,,,,,,,,,,,,,,,,
8,1 season,,INJ,BAA,,56.0,,,0.381,0.381,,,,,,0.7,1.5,2.1,,
9,1 season,,WSC,NBA,,22.0,,,0.396,0.462,,,,,,0.1,0.3,0.4,,
10,1 season,,BLB,NBA,,3.0,,,0.184,0.2,,,,,,-0.2,0.0,-0.1,,
