,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1960-61,22.0,LAL,NBA,SG,79,2797,16.0,0.468,0.393,,,,,,,,3.1,3.5,6.6,0.113,,,,,
1,1961-62,23.0,LAL,NBA,PG,75,3087,22.9,0.524,0.516,,,,,,,,9.8,3.1,12.9,0.201,,,,,
2,1962-63,24.0,LAL,NBA,PG,55,2163,21.9,0.523,0.393,,,,,,,,5.5,2.6,8.1,0.18,,,,,
3,1963-64,25.0,LAL,NBA,PG,72,2906,24.2,0.562,0.459,,,,,,,,12.2,1.8,14.0,0.232,,,,,
4,1964-65,26.0,LAL,NBA,PG,74,3066,25.0,0.572,0.477,,,,20.0,,,,14.8,1.9,16.7,0.261,,,,,
5,1965-66,27.0,LAL,NBA,SG,79,3218,24.6,0.573,0.564,,,,21.9,,,,14.4,2.7,17.1,0.256,,,,,
6,1966-67,28.0,LAL,NBA,PG,66,2670,22.7,0.559,0.494,,,,23.1,,,,9.4,2.3,11.7,0.21,,,,,
7,1967-68,29.0,LAL,NBA,SG,51,1919,23.2,0.59,0.521,,,,22.6,,,,8.0,1.6,9.6,0.241,,,,,
8,1968-69,30.0,LAL,NBA,SG,61,2394,22.3,0.557,0.516,,,,26.4,,,,8.6,2.1,10.8,0.216,,,,,
9,1969-70,31.0,LAL,NBA,PG,74,3106,24.6,0.572,0.469,,,,27.1,,,,11.5,3.7,15.2,0.234,,,,,
10,1970-71,32.0,LAL,NBA,PG,69,2845,23.5,0.571,0.467,,,5.0,32.3,,,,10.2,2.5,12.8,0.215,,,,,
11,1971-72,33.0,LAL,NBA,PG,77,2973,23.1,0.546,0.411,,,4.9,33.7,,,,8.4,4.9,13.3,0.216,,,,,
12,1972-73,34.0,LAL,NBA,PG,69,2460,23.2,0.533,0.326,,,5.4,35.5,,,,6.7,3.8,10.6,0.206,,,,,
13,1973-74,35.0,LAL,NBA,PG,31,967,22.4,0.519,0.382,3.0,7.8,5.5,32.5,3.6,1.1,,1.9,1.3,3.2,0.159,,3.3,1.4,4.7,1.6
14,Career,,,NBA,,932,36571,22.9,0.55,0.462,3.0,7.8,5.1,27.1,3.6,1.1,,124.6,37.9,162.6,0.213,,3.3,1.4,4.7,1.6
