,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1974-75,21.0,PHI,NBA,SG,12.0,72.0,19.4,0.53,0.068,4.2,12.8,8.4,10.7,1.9,0.7,,,,0.1,0.1,0.2,0.12,,-2.0,0.3,-1.7,0.1
1,1975-76,22.0,PHI,NBA,SG,65.0,818.0,12.7,0.446,0.057,6.0,5.9,6.0,12.4,1.5,0.4,,,,0.3,0.5,0.8,0.046,,-1.0,-1.2,-2.2,0.0
2,1978-79,25.0,SDC,NBA,SG,22.0,323.0,11.9,0.46,0.139,4.3,6.3,5.3,10.3,1.4,0.5,11.2,23.1,,0.2,0.1,0.2,0.032,,-1.8,-1.7,-3.6,-0.1
3,Career,,,NBA,,99.0,1213.0,12.9,0.456,0.079,5.5,6.4,5.9,11.8,1.5,0.5,11.2,23.1,,0.6,0.6,1.2,0.047,,-1.3,-1.2,-2.5,-0.1
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2 seasons,,PHI,NBA,,77.0,890.0,13.2,0.454,0.058,5.9,6.5,6.2,12.3,1.6,0.5,,,,0.4,0.6,1.0,0.052,,-1.1,-1.1,-2.1,0.0
6,1 season,,SDC,NBA,,22.0,323.0,11.9,0.46,0.139,4.3,6.3,5.3,10.3,1.4,0.5,11.2,23.1,,0.2,0.1,0.2,0.032,,-1.8,-1.7,-3.6,-0.1
