,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,24.0,MNM,ABA,SG,46,662,5.1,0.397,0.045,0.416,,,4.9,9.7,16.7,18.6,,-0.8,1.3,0.6,0.041,
1,Career,,,ABA,,46,662,5.1,0.397,0.045,0.416,,,4.9,9.7,16.7,18.6,,-0.8,1.3,0.6,0.041,
