,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1947-48,20.0,NYK,BAA,,47.0,,,0.359,0.214,,,,,,3.8,2.4,6.2,,
1,1948-49,21.0,NYK,BAA,,57.0,,,0.394,0.308,,,,,,2.8,2.5,5.3,,
2,1949-50,22.0,NYK,NBA,,67.0,,,0.434,0.365,,,,,,5.2,1.9,7.2,,
3,1952-53,25.0,NYK,NBA,SG,70.0,2316.0,17.5,0.497,0.497,,,,,,6.5,2.5,9.0,0.186,
4,1953-54,26.0,NYK,NBA,SG,72.0,2373.0,17.9,0.495,0.485,,,,,,7.2,1.3,8.6,0.173,
5,1954-55,27.0,NYK,NBA,SG,71.0,2479.0,14.9,0.454,0.331,,,,,,2.8,1.9,4.7,0.091,
6,1955-56,28.0,NYK,NBA,SG,72.0,2316.0,15.3,0.451,0.359,,,,,,2.4,1.2,3.6,0.075,
7,1956-57,29.0,NYK,NBA,PG,72.0,2345.0,13.9,0.444,0.305,,,,,,2.3,1.4,3.7,0.077,
8,1957-58,30.0,NYK,NBA,PG,71.0,2475.0,17.5,0.495,0.371,,,,,,5.9,1.7,7.6,0.147,
9,1958-59,31.0,NYK,NBA,PG,72.0,1959.0,15.2,0.483,0.319,,,,,,3.2,1.3,4.5,0.111,
10,1959-60,32.0,NYK,NBA,PG,54.0,1514.0,15.0,0.481,0.234,,,,,,2.3,0.6,3.0,0.095,
11,1960-61,33.0,NYK,NBA,PG,15.0,218.0,14.8,0.499,0.177,,,,,,0.4,0.1,0.4,0.097,
12,1961-62,34.0,BOS,NBA,PG,48.0,414.0,10.8,0.402,0.13,,,,,,-0.4,0.9,0.5,0.053,
13,Career,,,TOT,,788.0,18409.0,15.8,0.452,0.341,,,,,,44.4,19.8,64.3,0.119,
14,,,,NBA,,684.0,18409.0,15.8,0.467,0.358,,,,,,37.9,14.9,52.8,0.119,
15,,,,BAA,,104.0,,,0.377,0.263,,,,,,6.6,4.9,11.5,,
16,,,,,,,,,,,,,,,,,,,,
17,12 seasons,,NYK,BAA,,740.0,17995.0,16.0,0.453,0.346,,,,,,44.8,19.0,63.8,0.12,
18,1 season,,BOS,NBA,,48.0,414.0,10.8,0.402,0.13,,,,,,-0.4,0.9,0.5,0.053,
