,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1971-72,23.0,CIN,NBA,SF,19.0,233.0,8.1,0.454,0.354,,,8.3,8.1,,,,-0.1,0.1,0.0,0.002,,,,,
1,1972-73,24.0,KCO,NBA,SF,8.0,65.0,7.4,0.449,0.381,,,11.2,5.8,,,,0.0,0.0,0.0,-0.008,,,,,
2,1973-74,25.0,KCO,NBA,SF,45.0,462.0,13.0,0.519,0.392,6.3,11.3,8.8,6.1,1.3,0.6,,0.3,0.2,0.5,0.052,,-1.9,-1.4,-3.2,-0.1
3,1974-75,26.0,TOT,NBA,SF,48.0,445.0,10.1,0.437,0.313,8.0,15.5,11.7,6.0,0.9,1.0,,-0.3,0.4,0.1,0.013,,-3.9,-0.8,-4.7,-0.3
4,1974-75,26.0,KCO,NBA,SF,21.0,175.0,11.2,0.432,0.256,8.3,15.4,11.9,7.1,1.3,1.2,,-0.2,0.2,0.0,0.01,,-3.8,-0.8,-4.5,-0.1
5,1974-75,26.0,PHI,NBA,SF,27.0,270.0,9.4,0.441,0.364,7.8,15.5,11.6,5.2,0.7,0.8,,-0.1,0.2,0.1,0.015,,-3.9,-0.8,-4.8,-0.2
6,Career,,,NBA,,120.0,1205.0,10.7,0.474,0.355,7.2,13.4,9.9,6.4,1.1,0.8,,-0.1,0.7,0.6,0.025,,-2.8,-1.1,-3.9,-0.5
7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,"CIN,KCO",NBA,,93.0,935.0,11.1,0.482,0.353,6.9,12.5,9.4,6.8,1.3,0.7,,0.0,0.5,0.5,0.028,,-2.4,-1.2,-3.6,-0.3
9,1 season,,PHI,NBA,,27.0,270.0,9.4,0.441,0.364,7.8,15.5,11.6,5.2,0.7,0.8,,-0.1,0.2,0.1,0.015,,-3.9,-0.8,-4.8,-0.2
