,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1967-68,22.0,PTP,ABA,,16.0,146.0,7.3,0.385,0.171,0.171,,,9.6,13.1,,10.9,23.4,,-0.3,0.2,-0.1,-0.035,
1,1968-69,23.0,MNP,ABA,SG,68.0,1066.0,6.6,0.423,0.247,0.242,,,6.5,7.8,,15.9,18.6,,-0.9,1.3,0.3,0.015,
2,1969-70,24.0,PTP,ABA,PG,70.0,2391.0,12.0,0.537,0.095,0.33,,,4.7,12.5,,19.0,16.6,,3.4,1.5,4.9,0.098,
3,1970-71,25.0,TOT,ABA,,22.0,180.0,6.8,0.596,0.086,0.886,,,5.9,11.2,,30.2,13.7,,0.3,0.1,0.4,0.113,
4,1970-71,25.0,PTC,ABA,,17.0,135.0,9.6,0.593,0.111,0.852,,,7.5,14.9,,25.9,13.0,,0.2,0.1,0.3,0.12,
5,1970-71,25.0,CAR,ABA,,5.0,45.0,-1.7,0.608,0.0,1.0,,,1.0,0.0,,41.0,15.7,,0.1,0.0,0.1,0.093,
6,1971-72,26.0,TOT,ABA,SG,12.0,112.0,6.6,0.488,0.103,0.138,4.1,8.0,6.1,15.2,,20.6,12.8,,0.0,0.0,0.0,0.021,
7,1971-72,26.0,PTC,ABA,,8.0,71.0,11.0,0.551,0.15,0.2,5.2,5.1,5.2,20.6,,21.6,14.3,,0.1,0.0,0.1,0.057,
8,1971-72,26.0,INA,ABA,SG,4.0,41.0,-0.8,0.333,0.0,0.0,2.3,12.9,7.8,6.0,,18.2,10.4,,-0.1,0.0,0.0,-0.042,
9,Career,,,ABA,,188.0,3895.0,9.9,0.495,0.147,0.304,4.1,8.0,5.5,11.3,,18.1,17.1,,2.5,3.1,5.6,0.069,
10,,,,,,,,,,,,,,,,,,,,,,,,
11,5 seasons,,"PTP,MNP,PTC",ABA,,179.0,3809.0,10.2,0.495,0.149,0.302,5.2,5.1,5.5,11.5,,17.9,17.2,,2.5,3.0,5.5,0.07,
12,1 season,,CAR,ABA,,5.0,45.0,-1.7,0.608,0.0,1.0,,,1.0,0.0,,41.0,15.7,,0.1,0.0,0.1,0.093,
13,1 season,,INA,ABA,,4.0,41.0,-0.8,0.333,0.0,0.0,2.3,12.9,7.8,6.0,,18.2,10.4,,-0.1,0.0,0.0,-0.042,
