,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1967-68,24.0,CHI,NBA,PG,76.0,1477.0,13.1,0.459,0.311,,,,16.1,,,,0.1,1.4,1.6,0.051,,,,,
1,1968-69,25.0,CHI,NBA,PG,79.0,2874.0,14.4,0.473,0.283,,,,16.1,,,,1.9,3.4,5.3,0.088,,,,,
2,1969-70,26.0,CHI,NBA,SG,82.0,3214.0,16.5,0.499,0.285,,,,27.8,,,,2.8,3.4,6.1,0.092,,,,,
3,1970-71,27.0,PHO,NBA,PG,82.0,2764.0,15.9,0.498,0.338,,,5.4,20.3,,,,3.2,3.2,6.4,0.111,,,,,
4,1971-72,28.0,PHO,NBA,PG,79.0,2453.0,15.4,0.53,0.245,,,5.3,16.9,,,,4.3,2.6,6.8,0.133,,,,,
5,1972-73,29.0,PHO,NBA,SG,77.0,1581.0,15.0,0.505,0.213,,,5.3,18.3,,,,2.1,0.8,2.9,0.089,,,,,
6,1973-74,30.0,PHO,NBA,SG,81.0,1822.0,16.0,0.51,0.256,4.4,7.9,6.2,20.3,1.9,0.4,,2.7,0.7,3.4,0.09,,0.9,-0.7,0.2,1.0
7,1974-75,31.0,WSB,NBA,SG,70.0,702.0,11.8,0.445,0.217,4.1,7.3,5.7,15.3,1.5,0.5,,0.0,0.9,1.0,0.065,,-2.0,0.0,-2.0,0.0
8,1975-76,32.0,WSB,NBA,SG,55.0,737.0,15.5,0.588,0.242,1.7,5.7,3.8,15.1,1.4,0.6,,1.6,0.7,2.3,0.148,,0.5,0.3,0.8,0.5
9,Career,,,NBA,,681.0,17624.0,15.2,0.498,0.276,3.7,7.3,5.4,19.6,1.7,0.5,,18.7,17.1,35.8,0.097,,0.2,-0.3,-0.1,1.5
10,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4 seasons,,PHO,NBA,,319.0,8620.0,15.6,0.511,0.272,4.4,7.9,5.5,19.0,1.9,0.4,,12.3,7.3,19.6,0.109,,0.9,-0.7,0.2,1.0
12,3 seasons,,CHI,NBA,,237.0,7565.0,15.1,0.481,0.289,,,,21.0,,,,4.8,8.2,13.0,0.082,,,,,
13,2 seasons,,WSB,NBA,,125.0,1439.0,13.7,0.514,0.229,2.9,6.5,4.7,15.2,1.5,0.5,,1.6,1.6,3.2,0.108,,-0.7,0.2,-0.6,0.5
