,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1968-69,22.0,BAL,NBA,PG,64.0,916.0,3.2,0.332,,0.244,,,,6.1,,,,-1.8,1.1,-0.7,-0.034,
1,1969-70,23.0,TOT,ABA,PG,77.0,2091.0,7.9,0.429,0.037,0.397,,,7.1,8.1,15.3,16.7,,-1.6,1.4,-0.2,-0.004,
2,1969-70,23.0,INA,ABA,PG,9.0,143.0,12.0,0.496,0.075,0.65,,,11.7,11.9,13.5,15.9,,0.1,0.2,0.3,0.084,
3,1969-70,23.0,PTP,ABA,PG,68.0,1948.0,7.6,0.425,0.035,0.382,,,6.7,7.8,15.5,16.7,,-1.6,1.2,-0.4,-0.011,
4,Career,,,TOT,,141.0,3007.0,6.4,0.405,0.028,0.357,,,7.1,7.5,15.3,16.7,,-3.3,2.5,-0.8,-0.013,
5,,,,ABA,,77.0,2091.0,7.9,0.429,0.037,0.397,,,7.1,8.1,15.3,16.7,,-1.6,1.4,-0.2,-0.004,
6,,,,NBA,,64.0,916.0,3.2,0.332,,0.244,,,,6.1,,,,-1.8,1.1,-0.7,-0.034,
7,,,,,,,,,,,,,,,,,,,,,,,
8,1 season,,PTP,ABA,,68.0,1948.0,7.6,0.425,0.035,0.382,,,6.7,7.8,15.5,16.7,,-1.6,1.2,-0.4,-0.011,
9,1 season,,BAL,NBA,,64.0,916.0,3.2,0.332,,0.244,,,,6.1,,,,-1.8,1.1,-0.7,-0.034,
10,1 season,,INA,ABA,,9.0,143.0,12.0,0.496,0.075,0.65,,,11.7,11.9,13.5,15.9,,0.1,0.2,0.3,0.084,
