,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1966-67,22.0,PHI,NBA,SG,69.0,808.0,7.5,0.434,0.399,,,,14.4,,,,-0.2,0.7,0.5,0.03,,,,,
1,1967-68,23.0,PHI,NBA,SG,82.0,1612.0,10.4,0.541,0.387,,,,13.4,,,,2.1,2.0,4.2,0.124,,,,,
2,1968-69,24.0,PHI,NBA,SF,72.0,838.0,8.6,0.473,0.375,,,,14.8,,,,0.4,0.8,1.2,0.068,,,,,
3,1969-70,25.0,PHI,NBA,SG,80.0,1558.0,10.2,0.503,0.358,,,,16.4,,,,0.9,1.6,2.5,0.078,,,,,
4,1970-71,26.0,TOT,NBA,SG,79.0,2213.0,9.8,0.536,0.33,,,3.4,19.8,,,,2.3,2.3,4.7,0.101,,,,,
5,1970-71,26.0,PHI,NBA,SG,1.0,5.0,3.6,,,,,9.0,0.0,,,,0.0,0.0,0.0,0.037,,,,,
6,1970-71,26.0,CHI,NBA,SG,78.0,2208.0,9.8,0.536,0.33,,,3.4,19.8,,,,2.3,2.3,4.7,0.101,,,,,
7,1971-72,27.0,CIN,NBA,SG,61.0,1975.0,9.9,0.529,0.216,,,3.6,21.0,,,,1.8,0.6,2.3,0.057,,,,,
8,1972-73,28.0,KCO,NBA,SG,79.0,2846.0,11.2,0.594,0.159,,,4.5,17.7,,,,5.0,0.2,5.2,0.087,,,,,
9,1973-74,29.0,TOT,NBA,SG,75.0,1871.0,9.1,0.508,0.152,1.7,4.9,3.4,15.9,1.3,0.6,,1.1,0.4,1.5,0.04,,-1.5,-0.4,-1.9,0.0
10,1973-74,29.0,KCO,NBA,SG,9.0,315.0,10.0,0.51,0.145,0.7,6.3,3.5,15.8,1.1,0.2,,0.2,0.1,0.3,0.042,,-1.8,-0.7,-2.4,-0.1
11,1973-74,29.0,HOU,NBA,SG,39.0,1007.0,8.6,0.481,0.138,1.8,4.5,3.2,16.4,1.2,0.7,,0.5,0.2,0.7,0.031,,-1.3,-0.5,-1.8,0.0
12,1973-74,29.0,BUF,NBA,SG,27.0,549.0,9.5,0.556,0.182,2.2,4.9,3.6,15.2,1.5,0.5,,0.5,0.2,0.6,0.054,,-1.7,0.0,-1.6,0.0
13,1974-75,30.0,CHI,NBA,SG,82.0,2089.0,10.0,0.539,0.206,1.2,5.8,3.5,12.6,1.0,0.5,,2.4,1.9,4.3,0.099,,-1.3,0.2,-1.2,0.4
14,1975-76,31.0,TOT,NBA,SG,56.0,793.0,6.9,0.444,0.156,2.8,5.4,4.0,12.2,1.0,0.2,,0.1,0.3,0.3,0.021,,-3.2,-0.4,-3.6,-0.3
15,1975-76,31.0,CHI,NBA,SG,18.0,278.0,9.8,0.514,0.149,1.4,4.7,2.9,15.4,0.9,0.2,,0.3,0.1,0.5,0.079,,-2.0,-0.2,-2.2,0.0
16,1975-76,31.0,KCK,NBA,SG,38.0,515.0,5.4,0.391,0.162,3.5,5.8,4.7,10.5,1.1,0.2,,-0.3,0.1,-0.1,-0.01,,-3.9,-0.5,-4.4,-0.3
17,Career,,,NBA,,735.0,16603.0,9.8,0.524,0.263,1.7,5.4,3.7,16.4,1.1,0.5,,15.9,10.9,26.7,0.077,,-1.7,-0.1,-1.8,0.2
18,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5 seasons,,PHI,NBA,,304.0,4821.0,9.5,0.498,0.377,,,9.0,14.8,,,,3.2,5.2,8.4,0.083,,,,,
20,4 seasons,,"CIN,KCO,KCK",NBA,,187.0,5651.0,10.1,0.548,0.178,2.4,6.0,4.1,18.1,1.1,0.2,,6.7,1.0,7.6,0.065,,-3.1,-0.5,-3.6,-0.4
21,3 seasons,,CHI,NBA,,178.0,4575.0,9.9,0.536,0.254,1.2,5.6,3.4,16.3,1.0,0.4,,5.1,4.4,9.4,0.099,,-1.4,0.1,-1.3,0.4
22,1 season,,HOU,NBA,,39.0,1007.0,8.6,0.481,0.138,1.8,4.5,3.2,16.4,1.2,0.7,,0.5,0.2,0.7,0.031,,-1.3,-0.5,-1.8,0.0
23,1 season,,BUF,NBA,,27.0,549.0,9.5,0.556,0.182,2.2,4.9,3.6,15.2,1.5,0.5,,0.5,0.2,0.6,0.054,,-1.7,0.0,-1.6,0.0
