,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1969-70,22.0,TOT,ABA,C,75.0,910.0,9.7,0.496,0.0,0.312,,,15.4,10.1,,25.0,20.5,,0.6,1.1,1.7,0.09,
1,1969-70,22.0,NYA,ABA,C,72.0,873.0,10.3,0.499,0.0,0.305,,,15.7,10.5,,25.0,20.7,,0.7,1.1,1.7,0.096,
2,1969-70,22.0,WSA,ABA,C,3.0,37.0,-3.3,0.402,0.0,0.556,,,8.3,0.0,,26.3,14.6,,0.0,0.0,0.0,-0.038,
3,1970-71,23.0,VIR,ABA,C,1.0,25.0,-7.1,0.106,0.0,0.111,,,0.0,16.9,,0.0,13.3,,-0.2,0.0,-0.2,-0.29,
4,1971-72,24.0,PTC,ABA,C,1.0,4.0,-35.8,0.0,0.0,0.0,22.9,0.0,11.4,0.0,,50.0,18.2,,0.0,0.0,0.0,-0.305,
5,Career,,,ABA,,77.0,939.0,9.1,0.485,0.0,0.306,22.9,0.0,15.0,10.2,,24.6,20.3,,0.4,1.1,1.5,0.079,
6,,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,NYA,ABA,,72.0,873.0,10.3,0.499,0.0,0.305,,,15.7,10.5,,25.0,20.7,,0.7,1.1,1.7,0.096,
8,2 seasons,,"WSA,VIR",ABA,,4.0,62.0,-4.8,0.266,0.0,0.333,,,5.0,6.8,,16.2,14.1,,-0.2,0.0,-0.2,-0.139,
9,1 season,,PTC,ABA,,1.0,4.0,-35.8,0.0,0.0,0.0,22.9,0.0,11.4,0.0,,50.0,18.2,,0.0,0.0,0.0,-0.305,
