,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1947-48,22.0,BOS,BAA,,43.0,,,0.269,0.154,,,,,,-0.9,0.1,-0.8,,
1,1948-49,23.0,BOS,BAA,,56.0,,,0.375,0.222,,,,,,0.4,1.7,2.1,,
2,1949-50,24.0,TOT,NBA,,49.0,,,0.344,0.254,,,,,,-0.6,0.4,-0.2,,
3,1949-50,24.0,MNL,NBA,,23.0,,,0.302,0.147,,,,,,-0.6,0.5,0.0,,
4,1949-50,24.0,WAT,NBA,,26.0,,,0.376,0.339,,,,,,0.0,-0.1,-0.1,,
5,Career,,,TOT,,148.0,,,0.344,0.213,,,,,,-1.1,2.2,1.1,,
6,,,,BAA,,99.0,,,0.344,0.202,,,,,,-0.5,1.8,1.3,,
7,,,,NBA,,49.0,,,0.344,0.254,,,,,,-0.6,0.4,-0.2,,
8,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,BOS,BAA,,99.0,,,0.344,0.202,,,,,,-0.5,1.8,1.3,,
10,1 season,,WAT,NBA,,26.0,,,0.376,0.339,,,,,,0.0,-0.1,-0.1,,
11,1 season,,MNL,NBA,,23.0,,,0.302,0.147,,,,,,-0.6,0.5,0.0,,
