,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1969-70,23.0,MMF,ABA,C,78.0,1265.0,11.8,0.46,0.036,0.321,,,16.2,6.1,15.6,17.3,,-0.2,1.3,1.1,0.041,
1,1970-71,24.0,MMP,ABA,C,71.0,974.0,11.0,0.44,0.015,0.231,,,12.8,11.4,13.4,16.1,,-0.6,1.7,1.1,0.053,
2,Career,,,ABA,,149.0,2239.0,11.4,0.452,0.027,0.283,,,14.7,8.4,14.7,16.8,,-0.8,3.0,2.2,0.046,
3,,,,,,,,,,,,,,,,,,,,,,,
4,1 season,,MMF,ABA,,78.0,1265.0,11.8,0.46,0.036,0.321,,,16.2,6.1,15.6,17.3,,-0.2,1.3,1.1,0.041,
5,1 season,,MMP,ABA,,71.0,974.0,11.0,0.44,0.015,0.231,,,12.8,11.4,13.4,16.1,,-0.6,1.7,1.1,0.053,
