,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1967-68,23.0,BAL,NBA,SG,50.0,653.0,7.8,0.462,0.484,,,,4.5,,,,0.0,0.5,0.6,0.043,,,,,
1,1968-69,24.0,PHO,NBA,SF,80.0,1569.0,12.9,0.502,0.464,,,,10.8,,,,2.0,0.4,2.4,0.073,,,,,
2,1969-70,25.0,PHO,NBA,SF,58.0,525.0,10.8,0.462,0.354,,,,12.8,,,,-0.1,0.2,0.1,0.01,,,,,
3,1970-71,26.0,POR,NBA,SF,82.0,2290.0,13.8,0.524,0.439,,,5.9,13.4,,,,3.6,1.7,5.3,0.111,,,,,
4,1971-72,27.0,POR,NBA,SF,82.0,2036.0,16.0,0.567,0.454,,,6.3,10.8,,,,5.7,0.4,6.1,0.143,,,,,
5,1972-73,28.0,TOT,NBA,"SF,SG",33.0,294.0,11.4,0.466,0.311,,,8.9,10.1,,,,0.1,0.1,0.2,0.033,,,,,
6,1972-73,28.0,POR,NBA,SG,7.0,107.0,10.6,0.465,0.444,,,9.5,9.5,,,,0.0,0.0,0.0,0.022,,,,,
7,1972-73,28.0,HOU,NBA,SF,26.0,187.0,11.8,0.466,0.253,,,8.5,10.4,,,,0.0,0.1,0.2,0.04,,,,,
8,1973-74,29.0,HOU,NBA,SG,11.0,112.0,4.0,0.363,0.333,2.9,12.3,7.6,6.4,1.2,0.0,,-0.1,0.0,-0.1,-0.044,,-4.7,-0.5,-5.2,-0.1
9,Career,,,NBA,,396.0,7479.0,13.2,0.52,0.44,2.9,12.3,6.3,11.1,1.2,0.0,,11.1,3.4,14.5,0.093,,-4.7,-0.5,-5.2,-0.1
10,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3 seasons,,POR,NBA,,171.0,4433.0,14.7,0.543,0.446,,,6.1,12.1,,,,9.3,2.1,11.4,0.123,,,,,
12,2 seasons,,PHO,NBA,,138.0,2094.0,12.4,0.492,0.437,,,,11.3,,,,1.9,0.6,2.5,0.057,,,,,
13,1 season,,BAL,NBA,,50.0,653.0,7.8,0.462,0.484,,,,4.5,,,,0.0,0.5,0.6,0.043,,,,,
14,2 seasons,,HOU,NBA,,37.0,299.0,8.9,0.443,0.271,2.9,12.3,8.2,8.9,1.2,0.0,,-0.1,0.2,0.1,0.008,,-4.7,-0.5,-5.2,-0.1
