,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1968-69,23.0,PHI,NBA,SF,50.0,350.0,13.2,0.443,,0.163,,,,7.4,,,,,,-0.1,0.4,0.3,0.034,
1,1969-70,24.0,CHI,NBA,SG,38.0,517.0,11.4,0.436,,0.299,,,,18.5,,,,,,-0.5,0.5,0.0,-0.001,
2,1970-71,25.0,TOT,NBA,"SF,SG",81.0,1652.0,12.0,0.415,,0.207,,,11.0,17.1,,,,,,-2.0,1.7,-0.3,-0.009,
3,1970-71,25.0,CHI,NBA,SG,2.0,23.0,-4.2,0.118,,0.125,,,4.1,20.9,,,,,,-0.2,0.0,-0.1,-0.285,
4,1970-71,25.0,POR,NBA,SF,79.0,1629.0,12.2,0.418,,0.208,,,11.1,17.1,,,,,,-1.9,1.7,-0.2,-0.005,
5,1971-72,26.0,TOT,TOT,SF,56.0,774.0,13.2,0.464,0.007,0.293,7.5,13.0,10.2,14.0,,,12.2,20.4,,-0.3,1.1,0.8,0.052,
6,1971-72,26.0,ATL,NBA,SF,1.0,4.0,-4.5,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.007,
7,1971-72,26.0,DLC,ABA,SF,55.0,770.0,13.3,0.464,0.007,0.293,7.5,13.0,10.2,14.1,,,12.2,20.4,,-0.3,1.1,0.8,0.052,
8,1972-73,27.0,DLC,ABA,SF,29.0,355.0,6.8,0.43,0.047,0.248,4.4,11.2,7.7,19.9,,,20.6,22.9,,-0.5,0.2,-0.3,-0.038,
9,Career,,,TOT,,254.0,3648.0,11.8,0.432,0.005,0.234,6.5,12.4,10.3,16.0,,,15.2,21.2,,-3.4,3.9,0.5,0.006,
10,,,,NBA,,170.0,2523.0,12.0,0.424,,0.218,,,10.9,16.0,,,,,,-2.6,2.6,-0.1,-0.001,
11,,,,ABA,,84.0,1125.0,11.3,0.453,0.02,0.278,6.5,12.4,9.4,15.9,,,15.2,21.2,,-0.8,1.3,0.6,0.024,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,2 seasons,,DLC,ABA,,84.0,1125.0,11.3,0.453,0.02,0.278,6.5,12.4,9.4,15.9,,,15.2,21.2,,-0.8,1.3,0.6,0.024,
14,1 season,,POR,NBA,,79.0,1629.0,12.2,0.418,,0.208,,,11.1,17.1,,,,,,-1.9,1.7,-0.2,-0.005,
15,1 season,,PHI,NBA,,50.0,350.0,13.2,0.443,,0.163,,,,7.4,,,,,,-0.1,0.4,0.3,0.034,
16,2 seasons,,CHI,NBA,,40.0,540.0,10.7,0.427,,0.294,,,4.1,18.6,,,,,,-0.7,0.5,-0.1,-0.013,
17,1 season,,ATL,NBA,,1.0,4.0,-4.5,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.007,
