,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1963-64,25.0,BAL,NBA,PF,78.0,2847.0,16.3,0.46,,0.24,,,,,,,,,,1.0,2.5,3.5,0.06,
1,1964-65,26.0,BAL,NBA,SF,76.0,2899.0,16.6,0.457,,0.28,,,,13.6,,,,,,1.3,0.8,2.2,0.036,
2,1965-66,27.0,BAL,NBA,SF,41.0,1284.0,17.4,0.458,,0.269,,,,12.3,,,,,,0.4,1.3,1.6,0.06,
3,1966-67,28.0,BAL,NBA,SF,73.0,2626.0,17.6,0.489,,0.278,,,,10.5,,,,,,2.7,2.3,5.0,0.092,
4,1967-68,29.0,BAL,NBA,SF,60.0,2271.0,17.1,0.497,,0.261,,,,9.7,,,,,,2.3,3.0,5.3,0.112,
5,1968-69,30.0,BAL,NBA,PF,49.0,1671.0,17.5,0.499,,0.285,,,,7.9,,,,,,2.2,3.0,5.1,0.148,
6,1969-70,31.0,BAL,NBA,PF,78.0,2919.0,16.3,0.483,,0.212,,,,11.5,,,,,,0.9,5.0,5.9,0.097,
7,1970-71,32.0,BAL,NBA,PF,66.0,2538.0,18.9,0.494,,0.266,,,19.6,10.3,,,,,,2.2,5.0,7.2,0.136,
8,1971-72,33.0,BAL,NBA,PF,39.0,668.0,12.2,0.42,,0.234,,,15.9,10.5,,,,,,-0.8,0.9,0.1,0.007,
9,1972-73,34.0,TOT,TOT,"PF,SF",71.0,1170.0,11.9,0.449,0.044,0.163,10.7,18.9,15.2,10.8,,,18.1,19.4,,-0.7,1.6,0.9,0.035,
10,1972-73,34.0,PHO,NBA,PF,21.0,417.0,11.6,0.414,,0.199,,,15.8,9.9,,,,,,-0.5,0.3,-0.2,-0.02,
11,1972-73,34.0,INA,ABA,SF,50.0,753.0,12.0,0.471,0.07,0.14,10.7,18.9,14.9,11.3,,,18.1,19.4,,-0.3,1.3,1.0,0.066,
12,Career,,,TOT,,631.0,20893.0,16.7,0.476,0.002,0.254,10.7,18.9,17.9,10.9,,,18.1,19.4,,11.6,25.2,36.9,0.085,
13,,,,NBA,,581.0,20140.0,16.9,0.476,,0.258,,,18.5,10.9,,,,,,11.9,24.0,35.8,0.085,
14,,,,ABA,,50.0,753.0,12.0,0.471,0.07,0.14,10.7,18.9,14.9,11.3,,,18.1,19.4,,-0.3,1.3,1.0,0.066,
15,,,,,,,,,,,,,,,,,,,,,,,,,
16,9 seasons,,BAL,NBA,,560.0,19723.0,17.0,0.477,,0.259,,,18.8,10.9,,,,,,12.4,23.6,36.0,0.088,
17,1 season,,INA,ABA,,50.0,753.0,12.0,0.471,0.07,0.14,10.7,18.9,14.9,11.3,,,18.1,19.4,,-0.3,1.3,1.0,0.066,
18,1 season,,PHO,NBA,,21.0,417.0,11.6,0.414,,0.199,,,15.8,9.9,,,,,,-0.5,0.3,-0.2,-0.02,
