,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1968-69,24.0,MNP,ABA,SF,76.0,1596.0,12.2,0.459,0.009,0.454,,,11.7,6.9,,,14.6,16.8,,-0.1,2.5,2.4,0.072,
1,1969-70,25.0,WSA,ABA,PF,74.0,1820.0,15.3,0.556,0.008,0.429,,,11.6,7.0,,,15.8,18.4,,3.6,0.6,4.2,0.11,
2,1970-71,26.0,TOT,ABA,SF,70.0,1865.0,11.7,0.504,0.008,0.458,,,11.1,7.8,,,17.3,18.7,,1.2,1.4,2.6,0.067,
3,1970-71,26.0,VIR,ABA,,7.0,70.0,6.6,0.521,0.0,0.294,,,5.9,3.3,,,20.7,12.2,,0.0,0.0,0.1,0.058,
4,1970-71,26.0,CAR,ABA,SF,63.0,1795.0,11.9,0.503,0.008,0.462,,,11.3,7.9,,,17.2,18.9,,1.2,1.3,2.5,0.067,
5,1971-72,27.0,TOT,ABA,SF,82.0,1584.0,9.6,0.476,0.004,0.363,8.5,12.1,10.2,7.1,,,16.5,17.8,,-0.1,2.0,1.9,0.058,
6,1971-72,27.0,CAR,ABA,,9.0,141.0,3.0,0.322,0.021,0.521,7.5,11.0,9.2,5.7,,,13.2,17.8,,-0.5,0.1,-0.4,-0.125,
7,1971-72,27.0,DNR,ABA,SF,73.0,1443.0,10.3,0.492,0.002,0.347,8.6,12.2,10.3,7.2,,,16.8,17.8,,0.4,1.8,2.3,0.075,
8,1972-73,28.0,DNR,ABA,SF,4.0,36.0,13.8,0.507,0.0,0.867,11.1,8.7,10.0,0.0,,,12.6,25.4,,0.0,0.0,0.1,0.087,
9,Career,,,ABA,,306.0,6901.0,12.3,0.502,0.007,0.43,8.5,12.0,11.2,7.2,,,16.1,18.0,,4.7,6.5,11.1,0.077,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,"WSA,VIR",ABA,,81.0,1890.0,15.0,0.555,0.007,0.426,,,11.4,6.9,,,16.0,18.2,,3.6,0.7,4.3,0.108,
12,2 seasons,,DNR,ABA,,77.0,1479.0,10.4,0.493,0.002,0.363,8.6,12.1,10.3,7.1,,,16.6,18.0,,0.5,1.9,2.3,0.076,
13,1 season,,MNP,ABA,,76.0,1596.0,12.2,0.459,0.009,0.454,,,11.7,6.9,,,14.6,16.8,,-0.1,2.5,2.4,0.072,
14,2 seasons,,CAR,ABA,,72.0,1936.0,11.2,0.49,0.009,0.466,7.5,11.0,11.2,7.8,,,16.9,18.8,,0.7,1.4,2.2,0.053,
