,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1968-69,23.0,NYK,NBA,SF,54.0,397.0,6.2,0.388,0.292,,,,14.7,,,,-0.6,0.4,-0.1,-0.016,,,,,
1,1969-70,24.0,NYK,NBA,SG,81.0,1677.0,11.5,0.502,0.301,,,,14.8,,,,1.2,2.6,3.8,0.108,,,,,
2,1970-71,25.0,NYK,NBA,SF,82.0,1320.0,8.8,0.449,0.278,,,5.8,11.5,,,,-0.2,2.0,1.7,0.063,,,,,
3,1971-72,26.0,TOT,NBA,SF,58.0,1377.0,11.6,0.497,0.248,,,4.4,12.8,,,,1.1,1.0,2.1,0.072,,,,,
4,1971-72,26.0,NYK,NBA,SF,4.0,33.0,3.2,0.35,0.091,,,1.5,7.9,,,,-0.1,0.0,-0.1,-0.083,,,,,
5,1971-72,26.0,BAL,NBA,SF,54.0,1344.0,11.8,0.5,0.252,,,4.4,13.0,,,,1.1,1.0,2.1,0.076,,,,,
6,1972-73,27.0,BAL,NBA,SF,82.0,3466.0,15.6,0.54,0.171,,,5.5,16.6,,,,6.8,4.2,11.1,0.154,,,,,
7,1973-74,28.0,CAP,NBA,SF,81.0,3230.0,12.5,0.496,0.142,3.5,7.8,5.6,11.6,1.4,0.2,,3.5,3.5,7.0,0.104,,-0.8,0.5,-0.4,1.3
8,1974-75,29.0,WSB,NBA,SF,74.0,2191.0,15.1,0.513,0.111,4.1,8.9,6.5,13.7,1.5,0.1,,3.1,3.0,6.1,0.134,,0.1,0.2,0.3,1.3
9,1975-76,30.0,WSB,NBA,SF,78.0,1943.0,9.2,0.464,0.145,2.4,7.4,5.0,8.9,1.3,0.3,,-0.1,1.8,1.7,0.042,,-3.0,-0.1,-3.1,-0.6
10,1976-77,31.0,WSB,NBA,SF,49.0,289.0,5.6,0.393,0.16,2.5,7.0,4.8,9.0,0.5,0.4,,-0.3,0.2,-0.1,-0.024,,-4.5,-1.0,-5.5,-0.3
11,Career,,,NBA,,639.0,15890.0,12.3,0.498,0.18,3.4,8.0,5.5,13.1,1.4,0.2,,14.5,18.7,33.2,0.1,,-1.2,0.2,-1.1,1.8
12,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6 seasons,,"BAL,CAP,WSB",NBA,,418.0,12463.0,13.1,0.505,0.155,3.4,8.0,5.5,13.0,1.4,0.2,,14.2,13.7,27.9,0.108,,-1.2,0.2,-1.1,1.8
14,4 seasons,,NYK,NBA,,221.0,3427.0,9.7,0.467,0.289,,,5.7,13.4,,,,0.3,5.0,5.3,0.074,,,,,
