,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1968-69,24.0,DLC,ABA,C,77.0,2172.0,10.3,0.424,0.0,0.343,,,17.0,3.6,14.0,14.6,,-1.5,1.7,0.2,0.004,
1,1969-70,25.0,TOT,ABA,C,70.0,1190.0,7.0,0.409,0.007,0.331,,,15.0,5.8,20.7,12.5,,-1.0,1.0,0.0,0.001,
2,1969-70,25.0,DLC,ABA,C,48.0,966.0,8.1,0.436,0.004,0.336,,,14.9,6.5,20.3,12.5,,-0.4,0.8,0.4,0.018,
3,1969-70,25.0,PTP,ABA,C,6.0,59.0,3.3,0.345,0.0,0.75,,,10.8,6.0,20.0,12.2,,-0.1,0.0,-0.1,-0.045,
4,1969-70,25.0,NYA,ABA,C,16.0,165.0,1.8,0.267,0.025,0.175,,,17.5,2.2,23.2,12.8,,-0.5,0.2,-0.3,-0.081,
5,Career,,,ABA,,147.0,3362.0,9.2,0.419,0.002,0.34,,,16.3,4.4,16.2,13.8,,-2.5,2.7,0.2,0.003,
6,,,,,,,,,,,,,,,,,,,,,,,
7,2 seasons,,DLC,ABA,,125.0,3138.0,9.7,0.427,0.001,0.342,,,16.4,4.5,15.8,13.9,,-1.9,2.5,0.6,0.009,
8,1 season,,NYA,ABA,,16.0,165.0,1.8,0.267,0.025,0.175,,,17.5,2.2,23.2,12.8,,-0.5,0.2,-0.3,-0.081,
9,1 season,,PTP,ABA,,6.0,59.0,3.3,0.345,0.0,0.75,,,10.8,6.0,20.0,12.2,,-0.1,0.0,-0.1,-0.045,
