,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1968-69,22.0,MIL,NBA,C,77.0,1236.0,10.9,0.464,0.319,,,,6.0,,,,0.2,1.0,1.2,0.048,,,,,
1,1969-70,23.0,MIL,NBA,C,60.0,416.0,9.7,0.405,0.234,,,,7.8,,,,-0.5,0.5,0.0,0.001,,,,,
2,1970-71,24.0,MIL,NBA,C,76.0,675.0,11.7,0.455,0.303,,,18.0,7.2,,,,-0.1,1.0,1.0,0.068,,,,,
3,1971-72,25.0,HOU,NBA,C,63.0,720.0,10.8,0.433,0.305,,,15.3,9.7,,,,-0.3,1.3,1.0,0.068,,,,,
4,1972-73,26.0,MIL,NBA,C,72.0,692.0,9.1,0.441,0.321,,,14.6,5.7,,,,-0.2,1.2,1.0,0.071,,,,,
5,1973-74,27.0,MIL,NBA,C,8.0,45.0,6.1,0.33,1.167,2.4,31.7,18.1,0.0,2.0,2.3,,-0.1,0.1,0.0,-0.009,,-4.2,0.3,-3.9,0.0
6,1974-75,28.0,MIL,NBA,C,2.0,8.0,4.6,,,0.0,25.3,13.1,14.4,0.0,0.0,,0.0,0.0,0.0,0.092,,-4.5,0.1,-4.4,0.0
7,Career,,,NBA,,358.0,3792.0,10.5,0.444,0.307,2.1,30.8,16.0,7.0,1.7,1.9,,-1.0,5.3,4.2,0.054,,-4.3,0.3,-4.0,0.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6 seasons,,MIL,NBA,,295.0,3072.0,10.4,0.446,0.307,2.1,30.8,16.3,6.4,1.7,1.9,,-0.7,3.9,3.2,0.051,,-4.3,0.3,-4.0,0.0
10,1 season,,HOU,NBA,,63.0,720.0,10.8,0.433,0.305,,,15.3,9.7,,,,-0.3,1.3,1.0,0.068,,,,,
