,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1961-62,23.0,DET,NBA,PF,75.0,2087.0,15.6,0.442,,0.406,,,,,,,,,0.0,2.5,2.5,0.057,
1,1962-63,24.0,DET,NBA,PF,76.0,2538.0,15.1,0.468,,0.412,,,,,,,,,1.0,2.5,3.5,0.066,
2,1963-64,25.0,DET,NBA,PF,80.0,2964.0,16.9,0.466,,0.349,,,,,,,,,1.7,1.7,3.4,0.055,
3,1964-65,26.0,DET,NBA,PF,66.0,2167.0,15.0,0.416,,0.288,,,,15.5,,,,,-1.6,2.9,1.3,0.029,
4,1965-66,27.0,DET,NBA,PF,79.0,2652.0,17.1,0.47,,0.332,,,,12.8,,,,,1.9,3.4,5.3,0.096,
5,1966-67,28.0,TOT,NBA,"C,PF",72.0,2446.0,14.6,0.449,,0.32,,,,9.0,,,,,-0.4,2.8,2.4,0.047,
6,1966-67,28.0,DET,NBA,C,45.0,1477.0,12.7,0.428,,0.302,,,,7.8,,,,,-1.1,1.9,0.8,0.024,
7,1966-67,28.0,BAL,NBA,PF,27.0,969.0,17.5,0.48,,0.346,,,,10.8,,,,,0.7,0.9,1.6,0.08,
8,1967-68,29.0,BAL,NBA,PF,81.0,2924.0,16.0,0.479,,0.376,,,,7.5,,,,,1.5,3.9,5.5,0.09,
9,1968-69,30.0,BAL,NBA,PF,82.0,2168.0,14.9,0.464,,0.277,,,,7.9,,,,,0.7,3.8,4.5,0.099,
10,1969-70,31.0,BAL,NBA,PF,73.0,1393.0,15.1,0.479,,0.286,,,,10.2,,,,,0.3,2.2,2.5,0.086,
11,1970-71,32.0,VIR,ABA,C,72.0,1552.0,19.6,0.496,0.001,0.253,,,16.9,11.1,,11.7,26.7,,1.1,1.9,3.0,0.093,
12,1971-72,33.0,VIR,ABA,PF,55.0,818.0,14.9,0.47,0.01,0.29,7.6,19.3,13.5,6.4,,11.0,21.9,,-0.2,1.1,0.9,0.052,
13,Career,,,TOT,,811.0,23709.0,15.9,0.463,0.0,0.332,7.6,19.3,15.7,10.2,,11.5,25.0,,5.9,28.8,34.7,0.07,
14,,,,NBA,,684.0,21339.0,15.7,0.459,,0.342,,,,10.4,,,,,5.0,25.8,30.8,0.069,
15,,,,ABA,,127.0,2370.0,18.0,0.488,0.004,0.264,7.6,19.3,15.7,9.5,,11.5,25.0,,0.9,3.0,3.9,0.079,
16,,,,,,,,,,,,,,,,,,,,,,,,
17,6 seasons,,DET,NBA,,421.0,13885.0,15.7,0.451,,0.349,,,,12.6,,,,,1.8,15.0,16.8,0.058,
18,4 seasons,,BAL,NBA,,263.0,7454.0,15.7,0.475,,0.325,,,,8.5,,,,,3.2,10.8,14.1,0.09,
19,2 seasons,,VIR,ABA,,127.0,2370.0,18.0,0.488,0.004,0.264,7.6,19.3,15.7,9.5,,11.5,25.0,,0.9,3.0,3.9,0.079,
