,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,24.0,KEN,ABA,PF,18,184,7.8,0.42,0.023,0.372,,,13.0,3.0,15.2,12.2,,-0.1,0.2,0.1,0.037,
1,Career,,,ABA,,18,184,7.8,0.42,0.023,0.372,,,13.0,3.0,15.2,12.2,,-0.1,0.2,0.1,0.037,
