,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,23.0,LAL,NBA,SG,18.0,94.0,4.5,0.315,,0.966,,,,20.3,,,,-0.3,0.1,-0.2,-0.113,
1,1968-69,24.0,LAL,NBA,SG,35.0,289.0,11.5,0.468,,0.759,,,,14.4,,,,0.1,0.2,0.4,0.063,
2,1969-70,25.0,DNR,ABA,SG,3.0,22.0,6.7,0.452,0.0,1.5,,,8.0,22.0,31.1,16.3,,0.0,0.0,0.0,0.082,
3,1970-71,26.0,TOT,NBA,SG,28.0,198.0,12.8,0.455,,1.031,,,11.5,13.4,,,,0.0,0.1,0.1,0.022,
4,1970-71,26.0,CLE,NBA,SG,23.0,171.0,13.2,0.463,,1.017,,,10.4,12.9,,,,0.0,0.1,0.1,0.022,
5,1970-71,26.0,PHI,NBA,SG,5.0,27.0,10.1,0.385,,1.167,,,18.3,16.9,,,,0.0,0.0,0.0,0.021,
6,Career,,,TOT,,84.0,603.0,10.6,0.442,0.0,0.888,,,11.2,15.3,31.1,16.3,,-0.2,0.5,0.3,0.023,
7,,,,NBA,,81.0,581.0,10.8,0.441,,0.876,,,11.5,15.0,,,,-0.2,0.4,0.3,0.021,
8,,,,ABA,,3.0,22.0,6.7,0.452,0.0,1.5,,,8.0,22.0,31.1,16.3,,0.0,0.0,0.0,0.082,
9,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,LAL,NBA,,53.0,383.0,9.8,0.434,,0.803,,,,15.8,,,,-0.2,0.3,0.2,0.02,
11,1 season,,CLE,NBA,,23.0,171.0,13.2,0.463,,1.017,,,10.4,12.9,,,,0.0,0.1,0.1,0.022,
12,1 season,,PHI,NBA,,5.0,27.0,10.1,0.385,,1.167,,,18.3,16.9,,,,0.0,0.0,0.0,0.021,
13,1 season,,DNR,ABA,,3.0,22.0,6.7,0.452,0.0,1.5,,,8.0,22.0,31.1,16.3,,0.0,0.0,0.0,0.082,
