,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1968-69,22.0,OAK,ABA,PG,76,1751,15.0,0.549,0.006,0.55,,,7.2,13.8,17.9,20.5,,3.7,1.5,5.2,0.142,
1,1969-70,23.0,WSA,ABA,SG,32,659,10.3,0.479,0.011,0.472,,,5.9,11.9,16.2,20.9,,0.2,0.2,0.4,0.029,
2,Career,,,ABA,,108,2410,13.7,0.53,0.007,0.529,,,6.9,13.3,17.5,20.6,,3.9,1.7,5.6,0.111,
