,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1968-69,23.0,CHI,NBA,C,80,2365,12.9,0.42,0.267,,,,10.5,,,,,,-1.7,4.3,2.6,0.053,,,,,
1,1969-70,24.0,CHI,NBA,C,81,2335,15.3,0.484,0.292,,,,12.9,,,,,,0.7,3.7,4.4,0.09,,,,,
2,1970-71,25.0,CHI,NBA,C,82,2370,20.4,0.526,0.315,,,22.6,23.1,,,,,,3.4,5.6,9.0,0.182,,,,,
3,1971-72,26.0,CHI,NBA,C,80,2022,15.9,0.48,0.36,,,21.1,17.7,,,,,,0.7,6.7,7.4,0.175,,,,,
4,1972-73,27.0,CHI,NBA,C,8,176,14.3,0.457,0.833,,,15.4,27.5,,,,,,0.0,0.5,0.5,0.146,,,,,
5,1973-74,28.0,CHI,NBA,C,46,602,15.4,0.543,0.504,9.0,28.0,18.3,21.2,1.2,1.6,,,,0.5,1.2,1.7,0.134,,-0.1,3.1,3.0,0.8
6,1974-75,29.0,CHI,NBA,C,80,1175,18.6,0.539,0.351,9.5,24.5,17.0,33.8,1.0,2.2,,,,1.6,2.2,3.8,0.153,,1.7,2.9,4.5,1.9
7,1975-76,30.0,CHI,NBA,C,74,2045,17.7,0.533,0.334,12.2,28.0,19.5,21.1,1.1,1.4,,,,3.2,3.0,6.3,0.147,,1.3,1.6,2.9,2.6
8,1976-77,31.0,CHI,NBA,C,82,1070,14.7,0.502,0.231,9.7,20.8,15.2,25.4,0.9,1.0,,,,0.8,1.5,2.3,0.102,,-0.1,1.5,1.4,0.9
9,1977-78,32.0,CHI,NBA,C,22,227,10.3,0.503,0.26,6.7,21.5,14.2,26.1,0.6,1.0,31.8,14.5,,0.0,0.2,0.2,0.035,,-2.2,0.9,-1.3,0.1
10,Career,,,NBA,,635,14387,16.3,0.491,0.313,10.4,25.4,19.6,19.4,1.0,1.5,31.8,14.5,,9.2,28.8,38.0,0.127,,0.8,2.0,2.8,6.2
