,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,23.0,DET,NBA,SG,16.0,93.0,16.6,0.495,,0.294,,,,18.4,,,,0.1,0.1,0.2,0.095,
1,1968-69,24.0,KEN,ABA,SG,9.0,82.0,-0.7,0.355,0.0,0.525,,,4.8,19.9,23.3,29.0,,-0.3,0.1,-0.2,-0.102,
2,1969-70,25.0,DET,NBA,SG,25.0,130.0,16.9,0.527,,0.613,,,,19.2,,,,0.2,0.1,0.3,0.11,
3,1970-71,26.0,BUF,NBA,SG,30.0,213.0,18.4,0.513,,0.2,,,6.6,19.7,,,,0.4,0.1,0.5,0.118,
4,Career,,,TOT,,80.0,518.0,14.7,0.489,0.0,0.359,,,6.1,19.4,23.3,29.0,,0.5,0.4,0.8,0.077,
5,,,,NBA,,71.0,436.0,17.5,0.513,,0.33,,,6.6,19.2,,,,0.8,0.3,1.0,0.111,
6,,,,ABA,,9.0,82.0,-0.7,0.355,0.0,0.525,,,4.8,19.9,23.3,29.0,,-0.3,0.1,-0.2,-0.102,
7,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,DET,NBA,,41.0,223.0,16.8,0.513,,0.469,,,,18.8,,,,0.4,0.1,0.5,0.104,
9,1 season,,BUF,NBA,,30.0,213.0,18.4,0.513,,0.2,,,6.6,19.7,,,,0.4,0.1,0.5,0.118,
10,1 season,,KEN,ABA,,9.0,82.0,-0.7,0.355,0.0,0.525,,,4.8,19.9,23.3,29.0,,-0.3,0.1,-0.2,-0.102,
