,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1966-67,22.0,CIN,NBA,C,64.0,909.0,8.6,0.406,0.369,,,,2.6,,,,-1.1,0.6,-0.4,-0.022,,,,,
1,1967-68,23.0,CIN,NBA,C,66.0,918.0,12.6,0.48,0.376,,,,5.1,,,,0.5,0.2,0.7,0.037,,,,,
2,1968-69,24.0,CIN,NBA,C,82.0,1334.0,13.6,0.499,0.388,,,,4.9,,,,1.5,0.2,1.7,0.063,,,,,
3,1969-70,25.0,CHI,NBA,C,72.0,1407.0,13.2,0.46,0.338,,,,6.8,,,,-0.5,1.7,1.2,0.041,,,,,
4,1970-71,26.0,CLE,NBA,C,82.0,2425.0,17.1,0.502,0.381,,,14.2,5.7,,,,3.2,0.9,4.1,0.082,,,,,
5,1971-72,27.0,CLE,NBA,C,82.0,2185.0,13.2,0.45,0.289,,,15.8,5.1,,,,-1.1,2.3,1.2,0.026,,,,,
6,1972-73,28.0,TOT,NBA,C,57.0,474.0,10.3,0.405,0.228,,,15.5,8.8,,,,-0.7,0.4,-0.3,-0.026,,,,,
7,1972-73,28.0,CLE,NBA,C,12.0,110.0,7.8,0.344,0.255,,,16.8,8.6,,,,-0.4,0.2,-0.2,-0.082,,,,,
8,1972-73,28.0,PHO,NBA,C,45.0,364.0,11.1,0.424,0.219,,,15.1,8.9,,,,-0.3,0.3,-0.1,-0.01,,,,,
9,1973-74,29.0,CAP,NBA,C,39.0,400.0,15.1,0.494,0.285,14.8,17.6,16.2,5.0,1.0,2.5,,0.3,0.7,1.0,0.121,,-1.9,0.1,-1.9,0.0
10,1974-75,30.0,TOT,NBA,C,45.0,247.0,12.0,0.477,0.29,7.7,18.4,13.3,7.0,1.3,1.1,,-0.1,0.3,0.2,0.046,,-4.0,-0.1,-4.1,-0.1
11,1974-75,30.0,PHI,NBA,C,4.0,33.0,10.7,0.558,0.444,12.2,12.4,12.3,4.4,0.0,0.0,,0.0,0.0,0.0,0.065,,-4.0,-0.3,-4.4,0.0
12,1974-75,30.0,MIL,NBA,C,41.0,214.0,12.2,0.467,0.274,7.1,19.4,13.4,7.4,1.5,1.2,,-0.1,0.3,0.2,0.043,,-4.0,-0.1,-4.1,-0.1
13,1975-76,31.0,LAL,NBA,C,1.0,7.0,13.3,0.532,2.0,0.0,13.2,6.8,18.9,0.0,0.0,,0.0,0.0,0.0,0.042,,-4.6,0.0,-4.6,0.0
14,Career,,,NBA,,590.0,10306.0,13.6,0.471,0.344,12.0,17.9,15.0,5.4,1.1,2.0,,2.2,7.4,9.5,0.044,,-2.7,0.0,-2.7,-0.1
15,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3 seasons,,CIN,NBA,,212.0,3161.0,11.9,0.469,0.379,,,,4.3,,,,0.9,1.1,2.1,0.031,,,,,
17,3 seasons,,CLE,NBA,,176.0,4720.0,15.1,0.476,0.338,,,15.0,5.5,,,,1.8,3.4,5.1,0.052,,,,,
18,1 season,,CHI,NBA,,72.0,1407.0,13.2,0.46,0.338,,,,6.8,,,,-0.5,1.7,1.2,0.041,,,,,
19,1 season,,PHO,NBA,,45.0,364.0,11.1,0.424,0.219,,,15.1,8.9,,,,-0.3,0.3,-0.1,-0.01,,,,,
20,1 season,,MIL,NBA,,41.0,214.0,12.2,0.467,0.274,7.1,19.4,13.4,7.4,1.5,1.2,,-0.1,0.3,0.2,0.043,,-4.0,-0.1,-4.1,-0.1
21,1 season,,CAP,NBA,,39.0,400.0,15.1,0.494,0.285,14.8,17.6,16.2,5.0,1.0,2.5,,0.3,0.7,1.0,0.121,,-1.9,0.1,-1.9,0.0
22,1 season,,PHI,NBA,,4.0,33.0,10.7,0.558,0.444,12.2,12.4,12.3,4.4,0.0,0.0,,0.0,0.0,0.0,0.065,,-4.0,-0.3,-4.4,0.0
23,1 season,,LAL,NBA,,1.0,7.0,13.3,0.532,2.0,0.0,13.2,6.8,18.9,0.0,0.0,,0.0,0.0,0.0,0.042,,-4.6,0.0,-4.6,0.0
