,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1967-68,24.0,SFW,NBA,PF,44.0,257.0,8.1,0.416,,0.324,,,,7.0,,,,,,-0.3,0.4,0.2,0.031,
1,1968-69,25.0,PHO,NBA,PF,68.0,987.0,12.0,0.463,,0.47,,,,6.6,,,,,,0.2,0.3,0.6,0.028,
2,1970-71,27.0,PTC,ABA,PF,71.0,1135.0,13.2,0.508,0.003,0.469,,,17.4,7.0,,,19.6,17.5,,0.8,1.2,2.0,0.084,
3,1971-72,28.0,PTC,ABA,PF,64.0,1482.0,16.9,0.566,0.002,0.4,8.4,14.7,11.6,4.6,,,13.2,20.2,,3.3,-0.1,3.2,0.103,
4,1972-73,29.0,MMT,ABA,PF,16.0,296.0,9.2,0.525,0.01,0.433,6.7,14.1,10.3,3.2,,,20.5,20.4,,0.3,0.1,0.4,0.059,
5,Career,,,TOT,,263.0,4157.0,13.6,0.515,0.002,0.431,8.1,14.6,13.7,5.8,,,16.3,19.1,,4.3,2.0,6.3,0.072,
6,,,,ABA,,151.0,2913.0,14.6,0.542,0.003,0.427,8.1,14.6,13.7,5.4,,,16.3,19.1,,4.3,1.2,5.5,0.091,
7,,,,NBA,,112.0,1244.0,11.2,0.453,,0.438,,,,6.7,,,,,,0.0,0.8,0.7,0.028,
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,PTC,ABA,,135.0,2617.0,15.3,0.544,0.002,0.427,8.4,14.7,14.1,5.7,,,15.8,19.0,,4.1,1.1,5.2,0.095,
10,1 season,,PHO,NBA,,68.0,987.0,12.0,0.463,,0.47,,,,6.6,,,,,,0.2,0.3,0.6,0.028,
11,1 season,,SFW,NBA,,44.0,257.0,8.1,0.416,,0.324,,,,7.0,,,,,,-0.3,0.4,0.2,0.031,
12,1 season,,MMT,ABA,,16.0,296.0,9.2,0.525,0.01,0.433,6.7,14.1,10.3,3.2,,,20.5,20.4,,0.3,0.1,0.4,0.059,
