,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1966-67,25.0,NYK,NBA,SG,19.0,192.0,11.6,0.422,0.328,,,,8.9,,-0.2,0.1,-0.2,-0.042,
1,1967-68,26.0,TOT,NBA,SG,69.0,1182.0,12.8,0.477,0.353,,,,15.7,,0.6,1.0,1.6,0.065,
2,1967-68,26.0,NYK,NBA,SG,31.0,426.0,9.5,0.411,0.333,,,,14.0,,-0.5,0.4,-0.1,-0.01,
3,1967-68,26.0,LAL,NBA,SG,38.0,756.0,14.6,0.512,0.364,,,,16.7,,1.1,0.6,1.7,0.107,
4,1968-69,27.0,LAL,NBA,SG,81.0,1690.0,8.8,0.484,0.339,,,,11.8,,1.0,1.2,2.2,0.063,
5,1969-70,28.0,MIL,NBA,SG,77.0,1331.0,14.0,0.514,0.292,,,,20.9,,1.4,1.3,2.7,0.098,
6,1970-71,29.0,TOT,NBA,SG,51.0,652.0,10.2,0.413,0.349,,,7.2,16.4,,-0.8,0.6,-0.3,-0.019,
7,1970-71,29.0,BUF,NBA,SG,15.0,203.0,9.9,0.375,0.245,,,7.8,17.2,,-0.6,0.1,-0.4,-0.103,
8,1970-71,29.0,PHI,NBA,SG,36.0,449.0,10.3,0.435,0.411,,,6.9,16.1,,-0.3,0.4,0.2,0.019,
9,Career,,,NBA,,297.0,5047.0,11.4,0.476,0.331,,,7.2,15.6,,2.0,4.2,6.1,0.058,
10,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,LAL,NBA,,119.0,2446.0,10.6,0.496,0.349,,,,13.3,,2.1,1.8,3.9,0.077,
12,1 season,,MIL,NBA,,77.0,1331.0,14.0,0.514,0.292,,,,20.9,,1.4,1.3,2.7,0.098,
13,2 seasons,,NYK,NBA,,50.0,618.0,10.1,0.416,0.331,,,,12.4,,-0.7,0.5,-0.3,-0.02,
14,1 season,,PHI,NBA,,36.0,449.0,10.3,0.435,0.411,,,6.9,16.1,,-0.3,0.4,0.2,0.019,
15,1 season,,BUF,NBA,,15.0,203.0,9.9,0.375,0.245,,,7.8,17.2,,-0.6,0.1,-0.4,-0.103,
