,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1972-73,22.0,PHI,NBA,PG,82.0,2351.0,10.1,0.425,0.217,,,4.0,17.6,,,,,,-1.7,1.0,-0.7,-0.014,,,,,
1,1973-74,23.0,PHI,NBA,PG,75.0,1818.0,10.9,0.447,0.274,0.8,4.2,2.5,19.9,1.5,0.3,,,,-0.9,0.7,-0.2,-0.007,,-3.0,-1.1,-4.1,-1.0
2,1974-75,24.0,PHI,NBA,PG,66.0,1362.0,9.6,0.426,0.232,1.2,5.5,3.3,17.2,1.5,0.2,,,,-1.0,0.7,-0.3,-0.01,,-3.7,-0.9,-4.5,-0.9
3,1975-76,25.0,TOT,NBA,"PG,SG",36.0,617.0,9.9,0.458,0.298,0.6,4.5,2.6,18.0,2.0,0.6,,,,-0.1,0.5,0.4,0.033,,-2.6,0.4,-2.3,-0.1
4,1975-76,25.0,PHI,NBA,PG,6.0,33.0,2.9,0.363,0.333,0.0,5.8,2.9,7.5,1.4,0.0,,,,0.0,0.0,0.0,-0.041,,-4.8,0.0,-4.8,0.0
5,1975-76,25.0,NOJ,NBA,SG,30.0,584.0,10.3,0.461,0.297,0.7,4.5,2.6,18.6,2.1,0.6,,,,0.0,0.5,0.5,0.037,,-2.5,0.4,-2.1,0.0
6,1976-77,26.0,NOJ,NBA,PG,47.0,1212.0,12.6,0.52,0.241,1.5,5.6,3.6,17.1,1.6,0.3,,,,1.3,0.8,2.1,0.083,,-1.0,-0.1,-1.2,0.3
7,1977-78,27.0,NOJ,NBA,SG,21.0,363.0,7.7,0.426,0.2,0.5,4.4,2.5,16.9,1.1,0.4,14.3,14.6,,-0.1,0.2,0.1,0.013,,-3.1,-0.6,-3.7,-0.2
8,Career,,,NBA,,327.0,7723.0,10.5,0.447,0.242,1.0,4.9,3.3,18.0,1.5,0.3,14.3,14.6,,-2.5,3.9,1.4,0.009,,-2.7,-0.6,-3.3,-1.8
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4 seasons,,PHI,NBA,,229.0,5564.0,10.2,0.433,0.24,1.0,4.8,3.3,18.2,1.5,0.2,,,,-3.7,2.4,-1.3,-0.011,,-3.3,-1.0,-4.3,-1.9
11,3 seasons,,NOJ,NBA,,98.0,2159.0,11.2,0.49,0.248,1.1,5.1,3.1,17.5,1.7,0.4,14.3,14.6,,1.2,1.5,2.7,0.059,,-1.8,-0.1,-1.8,0.1
