,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1974-75,22.0,DET,NBA,SF,34,277,9.4,0.419,0.247,7.2,11.4,9.3,8.0,2.2,0.2,,,,-0.2,0.2,0.0,0.006,,-3.3,-0.5,-3.8,-0.1
1,1975-76,23.0,DET,NBA,SF,81,2066,11.7,0.483,0.335,6.8,12.8,9.8,5.3,1.9,0.4,,,,1.1,1.5,2.6,0.06,,-1.6,-0.7,-2.3,-0.2
2,1976-77,24.0,DET,NBA,SF,68,1219,11.5,0.534,0.363,6.5,12.3,9.4,5.1,1.6,0.6,,,,1.0,0.8,1.8,0.069,,-2.1,-0.6,-2.7,-0.2
3,1977-78,25.0,DET,NBA,SF,37,576,10.0,0.49,0.381,6.9,11.7,9.3,5.9,1.0,0.4,11.0,13.9,,0.6,0.3,0.9,0.078,,-1.3,-0.8,-2.1,0.0
4,Career,,,NBA,,220,4138,11.2,0.495,0.343,6.8,12.4,9.6,5.5,1.7,0.4,11.0,13.9,,2.5,2.8,5.3,0.062,,-1.8,-0.7,-2.5,-0.5
