,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1949-50,21.0,BLB,NBA,,12.0,,,0.277,0.316,,,,,,-0.5,0.1,-0.4,,
1,1952-53,24.0,MLH,NBA,PG,5.0,79.0,2.2,0.28,0.682,,,,,,-0.3,0.1,-0.2,-0.109,
2,Career,,,NBA,,17.0,79.0,2.2,0.278,0.418,,,,,,-0.8,0.2,-0.6,-0.109,
3,,,,,,,,,,,,,,,,,,,,
4,1 season,,BLB,NBA,,12.0,,,0.277,0.316,,,,,,-0.5,0.1,-0.4,,
5,1 season,,MLH,NBA,,5.0,79.0,2.2,0.28,0.682,,,,,,-0.3,0.1,-0.2,-0.109,
