,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1962-63,25.0,LAL,NBA,C,75.0,1488.0,7.7,0.453,,0.288,,,,,,,,0.0,1.8,1.8,0.058,
1,1963-64,26.0,LAL,NBA,C,78.0,1510.0,10.4,0.551,,0.275,,,,,,,,1.8,1.1,2.8,0.09,
2,1964-65,27.0,LAL,NBA,C,80.0,2002.0,10.3,0.478,,0.295,,,,6.8,,,,0.9,1.5,2.4,0.058,
3,1965-66,28.0,LAL,NBA,C,67.0,1386.0,8.9,0.448,,0.263,,,,5.4,,,,0.0,1.3,1.3,0.045,
4,1967-68,30.0,TOT,ABA,C,9.0,85.0,6.1,0.383,0.0,0.4,,,10.4,3.2,7.8,11.0,,-0.1,0.0,-0.1,-0.035,
5,1967-68,30.0,OAK,ABA,C,8.0,64.0,10.4,0.401,0.0,0.263,,,11.5,4.2,0.0,12.0,,-0.1,0.0,0.0,-0.028,
6,1967-68,30.0,DLC,ABA,C,1.0,21.0,-6.9,0.216,0.0,3.0,,,6.7,0.0,46.3,7.9,,0.0,0.0,0.0,-0.057,
7,Career,,,TOT,,309.0,6471.0,9.3,0.481,0.0,0.283,,,10.4,6.1,7.8,11.0,,2.6,5.7,8.3,0.062,
8,,,,NBA,,300.0,6386.0,9.4,0.482,,0.281,,,,6.2,,,,2.7,5.7,8.4,0.063,
9,,,,ABA,,9.0,85.0,6.1,0.383,0.0,0.4,,,10.4,3.2,7.8,11.0,,-0.1,0.0,-0.1,-0.035,
10,,,,,,,,,,,,,,,,,,,,,,,
11,4 seasons,,LAL,NBA,,300.0,6386.0,9.4,0.482,,0.281,,,,6.2,,,,2.7,5.7,8.4,0.063,
12,1 season,,OAK,ABA,,8.0,64.0,10.4,0.401,0.0,0.263,,,11.5,4.2,0.0,12.0,,-0.1,0.0,0.0,-0.028,
13,1 season,,DLC,ABA,,1.0,21.0,-6.9,0.216,0.0,3.0,,,6.7,0.0,46.3,7.9,,0.0,0.0,0.0,-0.057,
