,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1966-67,22.0,LAL,NBA,PF,22.0,118.0,15.1,0.478,0.654,,,,5.3,,,,0.1,0.1,0.2,0.079,,,,,
1,1967-68,23.0,SDR,NBA,C,52.0,1805.0,17.1,0.505,0.455,,,,5.6,,,,2.5,1.6,4.1,0.109,,,,,
2,1968-69,24.0,SDR,NBA,PF,78.0,2489.0,14.5,0.483,0.377,,,,7.5,,,,2.0,3.5,5.5,0.107,,,,,
3,1969-70,25.0,SDR,NBA,PF,82.0,2152.0,15.5,0.503,0.358,,,,8.3,,,,1.9,3.1,5.1,0.113,,,,,
4,1970-71,26.0,SDR,NBA,PF,73.0,1464.0,15.2,0.499,0.462,,,13.2,9.2,,,,1.5,2.6,4.1,0.133,,,,,
5,1971-72,27.0,MIL,NBA,PF,79.0,1524.0,14.3,0.516,0.519,,,13.0,7.7,,,,1.9,2.2,4.2,0.131,,,,,
6,1972-73,28.0,TOT,NBA,PF,73.0,2041.0,16.7,0.514,0.427,,,12.7,8.0,,,,3.2,0.9,4.2,0.099,,,,,
7,1972-73,28.0,PHI,NBA,PF,48.0,1558.0,17.6,0.511,0.428,,,12.6,8.9,,,,2.5,0.9,3.4,0.104,,,,,
8,1972-73,28.0,KCO,NBA,PF,25.0,483.0,13.9,0.525,0.422,,,13.0,5.2,,,,0.8,0.0,0.8,0.082,,,,,
9,1973-74,29.0,KCO,NBA,PF,82.0,1777.0,13.2,0.493,0.325,7.6,15.3,11.5,7.6,1.7,1.0,,0.8,1.5,2.3,0.062,,-1.5,-0.5,-2.0,0.0
10,1974-75,30.0,TOT,NBA,PF,54.0,939.0,17.0,0.528,0.416,7.7,18.2,13.0,8.6,2.1,1.9,,1.4,1.7,3.1,0.159,,0.3,1.1,1.4,0.8
11,1974-75,30.0,NOJ,NBA,PF,4.0,57.0,15.2,0.404,0.345,10.2,21.8,15.8,18.1,3.1,0.9,,-0.1,0.1,0.0,0.002,,-3.5,0.2,-3.3,0.0
12,1974-75,30.0,CHI,NBA,PF,50.0,882.0,17.2,0.539,0.423,7.6,17.9,12.8,8.0,2.1,2.0,,1.5,1.6,3.1,0.17,,0.5,1.2,1.7,0.8
13,1975-76,31.0,CHI,NBA,PF,2.0,7.0,12.9,0.41,0.5,0.0,30.9,14.4,0.0,6.8,0.0,,0.0,0.0,0.0,-0.121,,-4.7,0.2,-4.6,0.0
14,Career,,,NBA,,597.0,14316.0,15.4,0.502,0.413,7.6,16.3,12.6,7.7,1.9,1.3,,15.3,17.4,32.7,0.11,,-0.9,0.1,-0.8,0.8
15,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4 seasons,,SDR,NBA,,285.0,7910.0,15.5,0.497,0.405,,,13.2,7.6,,,,7.9,10.9,18.8,0.114,,,,,
17,2 seasons,,KCO,NBA,,107.0,2260.0,13.4,0.5,0.346,7.6,15.3,11.8,7.1,1.7,1.0,,1.6,1.5,3.1,0.066,,-1.5,-0.5,-2.0,0.0
18,1 season,,MIL,NBA,,79.0,1524.0,14.3,0.516,0.519,,,13.0,7.7,,,,1.9,2.2,4.2,0.131,,,,,
19,2 seasons,,CHI,NBA,,52.0,889.0,17.1,0.537,0.424,7.5,18.0,12.8,7.9,2.1,2.0,,1.5,1.6,3.1,0.167,,0.5,1.2,1.7,0.8
20,1 season,,PHI,NBA,,48.0,1558.0,17.6,0.511,0.428,,,12.6,8.9,,,,2.5,0.9,3.4,0.104,,,,,
21,1 season,,LAL,NBA,,22.0,118.0,15.1,0.478,0.654,,,,5.3,,,,0.1,0.1,0.2,0.079,,,,,
22,1 season,,NOJ,NBA,,4.0,57.0,15.2,0.404,0.345,10.2,21.8,15.8,18.1,3.1,0.9,,-0.1,0.1,0.0,0.002,,-3.5,0.2,-3.3,0.0
