,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1970-71,22.0,SDR,NBA,C,18.0,100.0,12.9,0.467,0.417,,,13.1,7.3,,,,,,0.0,0.2,0.2,0.087,,,,,
1,1971-72,23.0,TOT,NBA,C,75.0,1826.0,8.5,0.407,0.245,,,15.5,6.4,,,,,,-1.8,3.0,1.3,0.033,,,,,
2,1971-72,23.0,HOU,NBA,C,25.0,355.0,7.9,0.35,0.209,,,15.5,7.7,,,,,,-0.8,0.6,-0.2,-0.022,,,,,
3,1971-72,23.0,MIL,NBA,C,50.0,1471.0,8.7,0.424,0.256,,,15.5,6.1,,,,,,-1.0,2.4,1.4,0.047,,,,,
4,1972-73,24.0,MIL,NBA,PF,67.0,2094.0,12.0,0.486,0.219,,,14.9,7.1,,,,,,1.0,3.8,4.8,0.111,,,,,
5,1973-74,25.0,MIL,NBA,PF,81.0,2386.0,13.2,0.462,0.184,11.1,18.4,15.0,9.5,2.0,2.1,,,,0.7,4.6,5.3,0.106,,-1.0,1.5,0.5,1.5
6,1974-75,26.0,PHO,NBA,PF,79.0,2688.0,17.1,0.514,0.279,13.1,23.0,18.0,10.0,1.8,1.6,,,,3.8,3.7,7.6,0.135,,1.2,0.3,1.4,2.3
7,1975-76,27.0,PHO,NBA,PF,71.0,2353.0,15.8,0.537,0.308,9.2,22.2,15.8,11.1,1.6,1.5,,,,2.8,3.2,6.0,0.122,,0.2,0.2,0.5,1.5
8,1976-77,28.0,PHO,NBA,PF,44.0,1391.0,12.7,0.493,0.343,11.6,19.0,15.3,7.7,1.6,1.1,,,,0.7,2.0,2.8,0.096,,-1.2,0.0,-1.2,0.3
9,1977-78,29.0,PHO,NBA,PF,45.0,818.0,11.8,0.499,0.267,10.8,20.8,15.7,7.3,1.8,1.4,18.8,15.2,,0.4,1.4,1.7,0.102,,-2.3,0.3,-2.0,0.0
10,Career,,,NBA,,480.0,13656.0,13.5,0.49,0.263,11.2,20.9,15.8,8.8,1.8,1.6,18.8,15.2,,7.7,21.9,29.6,0.104,,-0.2,0.5,0.3,5.5
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4 seasons,,PHO,NBA,,239.0,7250.0,15.2,0.516,0.299,11.3,21.7,16.5,9.6,1.7,1.4,18.8,15.2,,7.7,10.3,18.1,0.12,,0.0,0.2,0.2,4.1
13,3 seasons,,MIL,NBA,,198.0,5951.0,11.7,0.462,0.212,11.1,18.4,15.1,7.8,2.0,2.1,,,,0.7,10.8,11.5,0.093,,-1.0,1.5,0.5,1.5
14,2 seasons,,"SDR,HOU",NBA,,43.0,455.0,9.0,0.387,0.27,,,15.0,7.6,,,,,,-0.8,0.8,0.0,0.002,,,,,
