,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1967-68,22.0,OAK,ABA,SF,74.0,2080.0,11.8,0.452,0.107,0.316,,,9.8,9.1,,,14.4,21.0,,0.5,0.5,0.9,0.022,
1,1968-69,23.0,NOB,ABA,SF,73.0,2195.0,16.1,0.519,0.036,0.456,,,10.3,11.9,,,14.6,20.1,,3.0,2.8,5.9,0.128,
2,1969-70,24.0,NOB,ABA,SF,55.0,1305.0,14.2,0.478,0.046,0.473,,,10.0,10.4,,,15.0,22.9,,0.4,1.7,2.1,0.077,
3,1970-71,25.0,FLO,ABA,SF,67.0,1596.0,15.1,0.541,0.035,0.407,,,9.4,8.6,,,14.1,20.4,,2.6,1.0,3.7,0.11,
4,1971-72,26.0,FLO,ABA,SF,74.0,1822.0,13.9,0.528,0.016,0.345,5.7,12.6,9.1,7.6,,,10.7,19.3,,2.2,1.1,3.3,0.087,
5,1972-73,27.0,TOT,ABA,SF,60.0,914.0,14.9,0.565,0.013,0.663,7.1,14.0,10.4,10.5,,,16.6,20.0,,1.8,0.5,2.2,0.117,
6,1972-73,27.0,MMT,ABA,SF,23.0,403.0,12.6,0.525,0.008,0.512,7.5,13.5,10.5,8.7,,,15.5,18.0,,0.4,0.1,0.5,0.06,
7,1972-73,27.0,DLC,ABA,SF,37.0,511.0,16.7,0.591,0.017,0.776,6.7,14.4,10.4,11.9,,,17.4,21.6,,1.4,0.3,1.7,0.162,
8,Career,,,ABA,,403.0,9912.0,14.2,0.507,0.048,0.414,6.2,13.1,9.8,9.7,,,14.0,20.5,,10.5,7.6,18.1,0.088,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,"NOB,MMT",ABA,,151.0,3903.0,15.1,0.505,0.037,0.467,7.5,13.5,10.2,11.1,,,14.8,20.8,,3.8,4.6,8.5,0.104,
11,2 seasons,,FLO,ABA,,141.0,3418.0,14.4,0.534,0.025,0.374,5.7,12.6,9.2,8.1,,,12.3,19.8,,4.8,2.2,7.0,0.098,
12,1 season,,OAK,ABA,,74.0,2080.0,11.8,0.452,0.107,0.316,,,9.8,9.1,,,14.4,21.0,,0.5,0.5,0.9,0.022,
13,1 season,,DLC,ABA,,37.0,511.0,16.7,0.591,0.017,0.776,6.7,14.4,10.4,11.9,,,17.4,21.6,,1.4,0.3,1.7,0.162,
