,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1966-67,24.0,BOS,NBA,PF,38.0,222.0,16.9,0.423,0.412,,,,7.4,,,,-0.2,0.6,0.4,0.097,,,,,
1,1967-68,25.0,SDR,NBA,PF,81.0,2519.0,12.0,0.432,0.342,,,,7.7,,,,-1.5,2.7,1.2,0.023,,,,,
2,1968-69,26.0,SDR,NBA,PF,76.0,1680.0,12.9,0.46,0.466,,,,6.8,,,,0.2,2.9,3.2,0.091,,,,,
3,1969-70,27.0,SDR,NBA,PF,77.0,1622.0,11.9,0.461,0.364,,,,6.9,,,,-0.3,2.8,2.5,0.075,,,,,
4,1970-71,28.0,SDR,NBA,PF,80.0,1100.0,9.7,0.408,0.376,,,16.1,7.1,,,,-1.0,2.1,1.2,0.052,,,,,
5,1971-72,29.0,MIL,NBA,PF,74.0,971.0,10.7,0.487,0.354,,,15.5,7.2,,,,0.4,1.6,2.0,0.097,,,,,
6,1972-73,30.0,KCO,NBA,PF,67.0,643.0,11.6,0.473,0.305,,,15.5,5.5,,,,0.2,0.1,0.2,0.018,,,,,
7,1973-74,31.0,PHI,NBA,PF,75.0,1592.0,13.9,0.52,0.406,10.7,23.1,16.6,6.5,1.4,0.7,,1.5,1.9,3.4,0.104,,-0.9,-0.4,-1.3,0.3
8,1974-75,32.0,NOJ,NBA,PF,3.0,90.0,7.3,0.383,0.304,8.6,20.7,14.5,5.9,1.0,0.0,,-0.1,0.1,0.0,-0.012,,-3.3,-0.5,-3.8,-0.1
9,Career,,,NBA,,571.0,10439.0,12.1,0.458,0.378,10.6,23.0,16.0,7.0,1.3,0.7,,-0.7,14.9,14.2,0.065,,-1.0,-0.4,-1.4,0.2
10,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4 seasons,,SDR,NBA,,314.0,6921.0,11.8,0.442,0.381,,,16.1,7.2,,,,-2.5,10.6,8.1,0.056,,,,,
12,1 season,,PHI,NBA,,75.0,1592.0,13.9,0.52,0.406,10.7,23.1,16.6,6.5,1.4,0.7,,1.5,1.9,3.4,0.104,,-0.9,-0.4,-1.3,0.3
13,1 season,,MIL,NBA,,74.0,971.0,10.7,0.487,0.354,,,15.5,7.2,,,,0.4,1.6,2.0,0.097,,,,,
14,1 season,,KCO,NBA,,67.0,643.0,11.6,0.473,0.305,,,15.5,5.5,,,,0.2,0.1,0.2,0.018,,,,,
15,1 season,,BOS,NBA,,38.0,222.0,16.9,0.423,0.412,,,,7.4,,,,-0.2,0.6,0.4,0.097,,,,,
16,1 season,,NOJ,NBA,,3.0,90.0,7.3,0.383,0.304,8.6,20.7,14.5,5.9,1.0,0.0,,-0.1,0.1,0.0,-0.012,,-3.3,-0.5,-3.8,-0.1
