,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,23.0,DTF,BAA,,59.0,,,0.272,0.123,,,,,,-2.9,4.4,1.5,,
1,1947-48,24.0,TOT,BAA,,42.0,,,0.329,0.207,,,,,,0.4,0.6,1.0,,
2,1947-48,24.0,PRO,BAA,,14.0,,,0.28,0.176,,,,,,-0.3,-0.1,-0.4,,
3,1947-48,24.0,STB,BAA,,28.0,,,0.356,0.224,,,,,,0.7,0.6,1.3,,
4,1948-49,25.0,STB,BAA,,55.0,,,0.384,0.438,,,,,,1.2,0.0,1.2,,
5,1949-50,26.0,STB,NBA,,68.0,,,0.359,0.357,,,,,,-1.1,0.6,-0.5,,
6,1950-51,27.0,WSC,NBA,,35.0,,,0.418,0.492,,,,,,0.5,0.5,1.1,,
7,Career,,,TOT,,259.0,,,0.34,0.293,,,,,,-1.8,6.0,4.2,,
8,,,,BAA,,156.0,,,0.323,0.246,,,,,,-1.2,4.9,3.7,,
9,,,,NBA,,103.0,,,0.377,0.398,,,,,,-0.5,1.1,0.6,,
10,,,,,,,,,,,,,,,,,,,,
11,3 seasons,,STB,BAA,,151.0,,,0.371,0.379,,,,,,0.8,1.2,2.0,,
12,1 season,,DTF,BAA,,59.0,,,0.272,0.123,,,,,,-2.9,4.4,1.5,,
13,1 season,,WSC,NBA,,35.0,,,0.418,0.492,,,,,,0.5,0.5,1.1,,
14,1 season,,PRO,BAA,,14.0,,,0.28,0.176,,,,,,-0.3,-0.1,-0.4,,
