,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1975-76,22.0,MIL,NBA,PF,65.0,948.0,11.1,0.489,0.391,11.0,17.7,14.4,5.2,0.4,2.3,,0.2,0.9,1.0,0.053,,-3.0,-0.6,-3.6,-0.4
1,1976-77,23.0,TOT,NBA,PF,9.0,52.0,6.7,0.294,0.368,19.3,11.6,15.4,7.7,0.0,4.0,,-0.2,0.0,-0.1,-0.109,,-4.5,-0.4,-4.8,-0.1
2,1976-77,23.0,IND,NBA,PF,2.0,21.0,13.2,0.4,0.571,18.0,14.2,16.2,19.1,0.0,4.9,,0.0,0.0,0.0,-0.041,,-4.1,0.0,-4.1,0.0
3,1976-77,23.0,BUF,NBA,PF,2.0,7.0,-1.7,0.231,1.0,0.0,43.5,21.6,0.0,0.0,0.0,,-0.1,0.0,0.0,-0.315,,-5.2,-0.2,-5.4,0.0
4,1976-77,23.0,POR,NBA,PF,5.0,24.0,3.5,0.222,0.0,26.2,0.0,12.9,0.0,0.0,4.4,,-0.1,0.0,-0.1,-0.109,,-4.6,-0.7,-5.3,-0.1
5,Career,,,NBA,,74.0,1000.0,10.8,0.475,0.39,11.4,17.4,14.5,5.3,0.4,2.4,,0.0,0.9,0.9,0.044,,-3.1,-0.6,-3.7,-0.5
6,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,MIL,NBA,,65.0,948.0,11.1,0.489,0.391,11.0,17.7,14.4,5.2,0.4,2.3,,0.2,0.9,1.0,0.053,,-3.0,-0.6,-3.6,-0.4
8,1 season,,POR,NBA,,5.0,24.0,3.5,0.222,0.0,26.2,0.0,12.9,0.0,0.0,4.4,,-0.1,0.0,-0.1,-0.109,,-4.6,-0.7,-5.3,-0.1
9,1 season,,IND,NBA,,2.0,21.0,13.2,0.4,0.571,18.0,14.2,16.2,19.1,0.0,4.9,,0.0,0.0,0.0,-0.041,,-4.1,0.0,-4.1,0.0
10,1 season,,BUF,NBA,,2.0,7.0,-1.7,0.231,1.0,0.0,43.5,21.6,0.0,0.0,0.0,,-0.1,0.0,0.0,-0.315,,-5.2,-0.2,-5.4,0.0
