,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1971-72,23.0,CLE,NBA,C,65.0,775.0,8.4,0.372,0.175,,,14.3,9.2,,,,-1.5,0.8,-0.7,-0.042,,,,,
1,1972-73,24.0,CLE,NBA,C,62.0,710.0,9.6,0.388,0.328,,,15.6,9.4,,,,-0.9,1.1,0.1,0.009,,,,,
2,1973-74,25.0,CLE,NBA,C,76.0,1910.0,13.6,0.457,0.187,11.3,22.6,16.6,11.9,1.2,1.6,,0.9,2.0,3.0,0.074,,-0.5,0.1,-0.4,0.8
3,1974-75,26.0,CLE,NBA,C,81.0,1269.0,11.3,0.441,0.189,9.4,18.2,13.8,10.0,0.8,0.9,,0.2,1.3,1.5,0.055,,-1.4,-0.5,-1.9,0.0
4,1975-76,27.0,TOT,NBA,C,66.0,918.0,9.9,0.414,0.245,8.3,17.4,12.6,12.4,0.8,1.0,,0.0,0.9,0.9,0.047,,-2.0,0.2,-1.8,0.1
5,1975-76,27.0,CLE,NBA,C,14.0,136.0,10.9,0.448,0.263,5.1,16.4,10.6,8.6,1.0,2.0,,0.0,0.2,0.2,0.074,,-2.2,0.5,-1.7,0.1
6,1975-76,27.0,CHI,NBA,C,52.0,782.0,9.8,0.407,0.242,8.8,17.6,12.9,13.0,0.8,0.8,,-0.1,0.8,0.7,0.042,,-2.0,0.2,-1.8,0.0
7,Career,,,NBA,,350.0,5582.0,11.2,0.426,0.21,10.0,20.1,14.8,10.9,1.0,1.2,,-1.3,6.1,4.8,0.041,,-1.1,-0.1,-1.2,0.9
8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5 seasons,,CLE,NBA,,298.0,4800.0,11.5,0.428,0.206,10.3,20.6,15.2,10.5,1.0,1.4,,-1.3,5.3,4.1,0.041,,-0.9,-0.1,-1.0,0.8
10,1 season,,CHI,NBA,,52.0,782.0,9.8,0.407,0.242,8.8,17.6,12.9,13.0,0.8,0.8,,-0.1,0.8,0.7,0.042,,-2.0,0.2,-1.8,0.0
