,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,23.0,ANA,ABA,SG,77.0,2441.0,17.9,0.522,0.009,0.605,,,7.7,22.5,18.8,24.4,,6.0,0.9,6.9,0.136,
1,1968-69,24.0,TOT,ABA,SG,77.0,2097.0,13.8,0.497,0.031,0.539,,,6.2,24.1,20.9,23.7,,2.2,1.9,4.0,0.093,
2,1968-69,24.0,LAS,ABA,SG,17.0,490.0,16.6,0.514,0.019,0.628,,,7.5,23.7,21.2,26.1,,0.8,0.4,1.1,0.111,
3,1968-69,24.0,MNP,ABA,SG,8.0,54.0,-1.2,0.381,0.0,0.286,,,9.9,29.0,37.2,24.7,,-0.1,0.1,0.0,0.033,
4,1968-69,24.0,INA,ABA,SG,24.0,725.0,13.3,0.525,0.024,0.661,,,5.7,22.1,21.4,19.8,,1.1,0.9,2.0,0.131,
5,1968-69,24.0,NYA,ABA,SG,28.0,828.0,13.7,0.475,0.043,0.429,,,5.6,25.9,19.3,25.6,,0.4,0.5,0.9,0.053,
6,1969-70,25.0,TOT,ABA,SG,72.0,1058.0,9.2,0.488,0.04,0.565,,,5.8,20.4,25.6,20.7,,0.6,1.0,1.7,0.076,
7,1969-70,25.0,NYA,ABA,SG,11.0,232.0,10.8,0.436,0.051,0.356,,,7.2,16.0,18.0,27.0,,-0.2,0.2,0.0,0.0,
8,1969-70,25.0,PTP,ABA,SG,14.0,306.0,11.7,0.477,0.028,0.598,,,6.7,22.5,22.4,20.5,,0.1,0.3,0.4,0.062,
9,1969-70,25.0,INA,ABA,SG,32.0,381.0,7.8,0.561,0.043,0.645,,,4.8,23.3,34.5,18.3,,0.7,0.4,1.1,0.134,
10,1969-70,25.0,KEN,ABA,SG,15.0,139.0,5.0,0.484,0.029,0.971,,,4.1,15.1,28.1,17.6,,0.1,0.2,0.2,0.073,
11,Career,,,ABA,,226.0,5596.0,14.7,0.508,0.022,0.574,,,6.8,22.7,20.7,23.4,,8.8,3.8,12.6,0.108,
12,,,,,,,,,,,,,,,,,,,,,,,
13,2 seasons,,"ANA,LAS",ABA,,94.0,2931.0,17.7,0.521,0.011,0.608,,,7.7,22.7,19.2,24.7,,6.8,1.2,8.1,0.132,
14,2 seasons,,INA,ABA,,56.0,1106.0,11.4,0.535,0.03,0.657,,,5.4,22.5,25.5,19.2,,1.7,1.3,3.0,0.132,
15,2 seasons,,NYA,ABA,,39.0,1060.0,13.0,0.466,0.045,0.412,,,5.9,23.7,19.0,25.9,,0.2,0.7,0.9,0.041,
16,2 seasons,,"MNP,PTP",ABA,,22.0,360.0,9.8,0.463,0.023,0.547,,,7.1,23.5,25.0,21.1,,0.0,0.4,0.4,0.058,
17,1 season,,KEN,ABA,,15.0,139.0,5.0,0.484,0.029,0.971,,,4.1,15.1,28.1,17.6,,0.1,0.2,0.2,0.073,
