,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1969-70,24.0,BAL,NBA,SG,76.0,1219.0,7.9,0.402,0.264,,,,11.6,,,,-1.7,1.4,-0.3,-0.013,,,,,
1,1970-71,25.0,BAL,NBA,SG,77.0,1707.0,12.3,0.446,0.225,,,6.5,13.2,,,,-0.7,2.0,1.3,0.036,,,,,
2,1971-72,26.0,TOT,NBA,SG,79.0,2215.0,12.5,0.468,0.288,,,6.7,13.5,,,,0.2,1.6,1.8,0.04,,,,,
3,1971-72,26.0,BAL,NBA,SG,2.0,68.0,6.0,0.242,0.333,,,13.2,22.2,,,,-0.4,0.1,-0.3,-0.206,,,,,
4,1971-72,26.0,PHI,NBA,SG,77.0,2147.0,12.7,0.474,0.287,,,6.5,13.3,,,,0.6,1.5,2.1,0.048,,,,,
5,1972-73,27.0,PHI,NBA,SG,81.0,2993.0,15.2,0.455,0.228,,,7.2,17.9,,,,-0.3,1.5,1.3,0.02,,,,,
6,1973-74,28.0,PHI,NBA,SG,78.0,3044.0,15.7,0.463,0.218,2.5,9.5,5.8,23.8,1.6,0.4,,0.3,2.0,2.3,0.036,,-0.1,-0.7,-0.8,0.9
7,1974-75,29.0,PHI,NBA,PG,77.0,3046.0,15.9,0.482,0.217,2.4,9.0,5.7,18.2,1.2,0.3,,2.8,1.9,4.7,0.074,,0.3,-1.0,-0.7,1.0
8,1975-76,30.0,PHI,NBA,PG,82.0,2992.0,14.5,0.447,0.196,3.7,6.0,4.8,19.1,2.0,0.2,,1.1,2.2,3.3,0.053,,-0.7,-0.9,-1.6,0.3
9,1976-77,31.0,TOT,NBA,SG,61.0,1112.0,11.7,0.448,0.192,5.1,5.7,5.4,15.3,1.6,0.4,,0.1,0.4,0.4,0.018,,-1.7,-1.5,-3.2,-0.4
10,1976-77,31.0,PHI,NBA,SG,14.0,237.0,10.4,0.439,0.188,4.5,5.6,5.1,12.5,2.1,0.4,,-0.1,0.2,0.1,0.024,,-3.0,-0.3,-3.4,-0.1
11,1976-77,31.0,MIL,NBA,SG,47.0,875.0,12.1,0.45,0.193,5.3,5.7,5.5,16.0,1.4,0.4,,0.2,0.1,0.3,0.017,,-1.4,-1.8,-3.2,-0.3
12,Career,,,NBA,,611.0,18328.0,14.0,0.458,0.225,3.1,7.9,6.0,17.6,1.6,0.3,,1.9,12.9,14.8,0.039,,-0.3,-0.9,-1.3,1.8
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6 seasons,,PHI,NBA,,409.0,14459.0,14.8,0.463,0.224,2.9,8.1,6.0,18.7,1.7,0.3,,4.5,9.3,13.8,0.046,,-0.3,-0.9,-1.1,2.1
15,3 seasons,,BAL,NBA,,155.0,2994.0,10.3,0.426,0.24,,,6.7,12.8,,,,-2.8,3.4,0.7,0.011,,,,,
16,1 season,,MIL,NBA,,47.0,875.0,12.1,0.45,0.193,5.3,5.7,5.5,16.0,1.4,0.4,,0.2,0.1,0.3,0.017,,-1.4,-1.8,-3.2,-0.3
