,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1954-55,24.0,ROC,NBA,SF,72.0,1337.0,17.4,0.489,0.384,,,,,,2.7,0.8,3.5,0.125,
1,1956-57,26.0,ROC,NBA,SF,40.0,460.0,12.4,0.422,0.356,,,,,,0.1,0.6,0.7,0.073,
2,1957-58,27.0,TOT,NBA,SF,38.0,518.0,8.1,0.392,0.38,,,,,,-0.3,0.5,0.2,0.018,
3,1957-58,27.0,DET,NBA,SF,9.0,66.0,8.3,0.411,0.364,,,,,,0.0,0.0,0.0,0.028,
4,1957-58,27.0,CIN,NBA,SF,29.0,452.0,8.0,0.389,0.382,,,,,,-0.3,0.4,0.2,0.016,
5,1958-59,28.0,CIN,NBA,SF,18.0,272.0,7.7,0.349,0.367,,,,,,-0.3,0.1,-0.3,-0.044,
6,Career,,,NBA,,168.0,2587.0,13.6,0.447,0.377,,,,,,2.2,1.9,4.1,0.076,
7,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,"ROC,CIN",NBA,,159.0,2521.0,13.8,0.448,0.377,,,,,,2.2,1.9,4.1,0.078,
9,1 season,,DET,NBA,,9.0,66.0,8.3,0.411,0.364,,,,,,0.0,0.0,0.0,0.028,
