,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1967-68,24.0,SEA,NBA,PF,81.0,2368.0,12.0,0.48,,0.266,,,,6.1,,,,,1.1,1.2,2.3,0.046,
1,1968-69,25.0,TOT,NBA,PF,84.0,1885.0,12.7,0.48,,0.302,,,,5.6,,,,,1.3,0.8,2.1,0.052,
2,1968-69,25.0,SEA,NBA,PF,56.0,1259.0,12.9,0.468,,0.314,,,,6.2,,,,,0.4,0.7,1.1,0.044,
3,1968-69,25.0,CIN,NBA,PF,28.0,626.0,12.4,0.507,,0.275,,,,4.3,,,,,0.8,0.1,0.9,0.07,
4,1969-70,26.0,TOT,NBA,PF,61.0,819.0,13.3,0.56,,0.305,,,,6.2,,,,,1.5,0.8,2.3,0.134,
5,1969-70,26.0,CHI,NBA,PF,33.0,557.0,12.9,0.553,,0.238,,,,7.6,,,,,0.9,0.5,1.4,0.123,
6,1969-70,26.0,BAL,NBA,PF,28.0,262.0,14.1,0.572,,0.438,,,,3.3,,,,,0.6,0.3,0.9,0.158,
7,1970-71,27.0,TOT,TOT,PF,45.0,607.0,13.1,0.503,0.027,0.277,,,10.3,4.4,,13.0,21.7,,0.5,0.5,1.1,0.085,
8,1970-71,27.0,BAL,NBA,PF,31.0,276.0,13.7,0.501,,0.27,,,11.7,3.4,,,,,0.3,0.3,0.6,0.107,
9,1970-71,27.0,FLO,ABA,PF,14.0,331.0,12.6,0.505,0.047,0.282,,,9.2,5.2,,13.0,21.7,,0.3,0.2,0.5,0.067,
10,1971-72,28.0,FLO,ABA,PF,81.0,1799.0,14.7,0.524,0.101,0.246,4.8,16.5,10.6,8.4,,12.6,22.1,,2.2,1.2,3.5,0.093,
11,Career,,,TOT,,352.0,7478.0,13.1,0.5,0.028,0.274,4.8,16.5,10.5,6.4,,12.6,22.0,,6.7,4.5,11.1,0.072,
12,,,,NBA,,257.0,5348.0,12.6,0.492,,0.284,,,11.7,5.8,,,,,4.2,3.1,7.2,0.065,
13,,,,ABA,,95.0,2130.0,14.3,0.521,0.093,0.251,4.8,16.5,10.3,7.9,,12.6,22.0,,2.5,1.4,3.9,0.089,
14,,,,,,,,,,,,,,,,,,,,,,,,
15,2 seasons,,SEA,NBA,,137.0,3627.0,12.3,0.475,,0.283,,,,6.1,,,,,1.5,1.9,3.4,0.045,
16,2 seasons,,FLO,ABA,,95.0,2130.0,14.3,0.521,0.093,0.251,4.8,16.5,10.3,7.9,,12.6,22.0,,2.5,1.4,3.9,0.089,
17,2 seasons,,BAL,NBA,,59.0,538.0,13.9,0.535,,0.346,,,11.7,3.4,,,,,0.9,0.6,1.5,0.132,
18,1 season,,CHI,NBA,,33.0,557.0,12.9,0.553,,0.238,,,,7.6,,,,,0.9,0.5,1.4,0.123,
19,1 season,,CIN,NBA,,28.0,626.0,12.4,0.507,,0.275,,,,4.3,,,,,0.8,0.1,0.9,0.07,
