,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1949-50,24.0,TOT,NBA,SG,61.0,,,0.361,0.351,,,,,,-0.3,2.0,1.7,,
1,1949-50,24.0,TRI,NBA,SG,26.0,,,0.38,0.431,,,,,,0.0,0.5,0.5,,
2,1949-50,24.0,AND,NBA,SG,35.0,,,0.342,0.278,,,,,,-0.4,1.6,1.2,,
3,1951-52,26.0,TOT,NBA,SG,29.0,626.0,11.3,0.381,0.452,,,,,,-0.5,0.4,-0.1,-0.008,
4,1951-52,26.0,BLB,NBA,SG,19.0,341.0,13.1,0.387,0.466,,,,,,-0.3,0.2,-0.1,-0.01,
5,1951-52,26.0,MLH,NBA,SG,10.0,285.0,9.1,0.37,0.429,,,,,,-0.2,0.2,0.0,-0.005,
6,Career,,,NBA,,90.0,626.0,11.3,0.37,0.398,,,,,,-0.9,2.4,1.6,-0.008,
7,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,"TRI,MLH",NBA,,36.0,285.0,9.1,0.376,0.43,,,,,,-0.2,0.7,0.5,-0.005,
9,1 season,,AND,NBA,,35.0,,,0.342,0.278,,,,,,-0.4,1.6,1.2,,
10,1 season,,BLB,NBA,,19.0,341.0,13.1,0.387,0.466,,,,,,-0.3,0.2,-0.1,-0.01,
