,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1952-53,25.0,PHW,NBA,SG,15,182,6.2,0.329,0.4,,,,,,-0.5,0.1,-0.4,-0.115,
1,Career,,,NBA,,15,182,6.2,0.329,0.4,,,,,,-0.5,0.1,-0.4,-0.115,
