,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1970-71,22.0,BUF,NBA,C,65.0,1293.0,11.1,0.445,0.38,,,15.9,5.5,,,,-0.4,1.1,0.6,0.024,,,,,
1,1971-72,23.0,BUF,NBA,PF,62.0,1239.0,11.8,0.477,0.213,,,14.8,6.0,,,,0.3,0.4,0.6,0.025,,,,,
2,1972-73,24.0,TOT,NBA,C,72.0,1370.0,11.9,0.442,0.214,,,18.5,7.1,,,,-0.5,2.2,1.7,0.059,,,,,
3,1972-73,24.0,BUF,NBA,C,4.0,47.0,14.5,0.475,0.118,,,14.9,17.6,,,,0.0,0.0,0.0,0.036,,,,,
4,1972-73,24.0,CLE,NBA,C,68.0,1323.0,11.8,0.44,0.218,,,18.6,6.7,,,,-0.5,2.2,1.7,0.06,,,,,
5,1973-74,25.0,TOT,NBA,C,72.0,1405.0,11.9,0.542,0.327,8.2,19.8,14.4,6.2,0.9,1.5,,1.2,2.3,3.5,0.119,,-1.7,0.6,-1.0,0.3
6,1973-74,25.0,CLE,NBA,C,5.0,49.0,6.4,0.271,0.308,9.9,26.7,17.8,9.9,0.0,2.2,,-0.1,0.0,-0.1,-0.061,,-4.4,-0.2,-4.6,-0.1
7,1973-74,25.0,MIL,NBA,C,67.0,1356.0,12.1,0.553,0.327,8.1,19.6,14.2,6.1,0.9,1.5,,1.3,2.2,3.5,0.125,,-1.6,0.7,-0.9,0.4
8,1974-75,26.0,MIL,NBA,PF,79.0,2519.0,11.4,0.494,0.287,10.2,23.0,16.8,6.5,0.9,1.1,,1.6,3.1,4.7,0.09,,-1.0,0.0,-1.1,0.6
9,1975-76,27.0,LAL,NBA,PF,81.0,2512.0,10.2,0.509,0.244,8.8,18.4,13.8,5.3,1.0,0.9,,1.8,2.6,4.3,0.083,,-1.4,-0.3,-1.7,0.2
10,1976-77,28.0,LAL,NBA,PF,14.0,170.0,12.4,0.485,0.113,12.9,28.1,20.7,8.3,0.3,0.6,,0.1,0.2,0.3,0.091,,-2.4,-0.8,-3.2,-0.1
11,Career,,,NBA,,445.0,10508.0,11.3,0.486,0.271,9.3,20.7,15.7,6.1,0.9,1.1,,4.0,11.8,15.8,0.072,,-1.4,0.0,-1.4,1.0
12,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2 seasons,,MIL,NBA,,146.0,3875.0,11.7,0.517,0.302,9.5,21.8,15.9,6.4,0.9,1.2,,2.9,5.4,8.3,0.102,,-1.2,0.2,-1.0,1.0
14,3 seasons,,BUF,NBA,,131.0,2579.0,11.5,0.461,0.294,,,15.4,6.0,,,,-0.1,1.4,1.3,0.025,,,,,
15,2 seasons,,LAL,NBA,,95.0,2682.0,10.3,0.507,0.232,9.1,19.0,14.2,5.5,0.9,0.9,,1.8,2.8,4.7,0.083,,-1.5,-0.3,-1.8,0.1
16,2 seasons,,CLE,NBA,,73.0,1372.0,11.6,0.435,0.221,9.9,26.7,18.6,6.9,0.0,2.2,,-0.6,2.2,1.6,0.056,,-4.4,-0.2,-4.6,-0.1
