,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,25.0,NYK,BAA,,22.0,,,0.341,0.329,,,,,,1.0,0.7,1.7,,
1,1947-48,26.0,NYK,BAA,,48.0,,,0.307,0.325,,,,,,0.1,2.4,2.5,,
2,1948-49,27.0,NYK,BAA,,60.0,,,0.412,0.4,,,,,,2.5,2.6,5.1,,
3,1949-50,28.0,BLB,NBA,,1.0,,,0.0,0.0,,,,,,-0.1,0.0,0.0,,
4,Career,,,TOT,,131.0,,,0.36,0.358,,,,,,3.5,5.8,9.3,,
5,,,,BAA,,130.0,,,0.361,0.359,,,,,,3.6,5.8,9.3,,
6,,,,NBA,,1.0,,,0.0,0.0,,,,,,-0.1,0.0,0.0,,
7,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,NYK,BAA,,130.0,,,0.361,0.359,,,,,,3.6,5.8,9.3,,
9,1 season,,BLB,NBA,,1.0,,,0.0,0.0,,,,,,-0.1,0.0,0.0,,
