,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1947-48,25.0,TOT,BAA,,33.0,,,0.394,0.476,,,,,,1.5,0.0,1.6,,
1,1947-48,25.0,CHS,BAA,,19.0,,,0.26,0.426,,,,,,-0.2,0.2,-0.1,,
2,1947-48,25.0,PRO,BAA,,14.0,,,0.437,0.493,,,,,,1.8,-0.1,1.6,,
3,1948-49,26.0,TOT,BAA,,36.0,,,0.466,0.631,,,,,,0.8,0.3,1.1,,
4,1948-49,26.0,WSC,BAA,,13.0,,,0.476,0.571,,,,,,0.2,0.1,0.3,,
5,1948-49,26.0,BLB,BAA,,23.0,,,0.463,0.651,,,,,,0.6,0.1,0.8,,
6,1949-50,27.0,DNN,NBA,,62.0,,,0.471,0.514,,,,,,4.3,-0.7,3.6,,
7,Career,,,TOT,,131.0,,,0.452,0.517,,,,,,6.7,-0.4,6.3,,
8,,,,BAA,,69.0,,,0.417,0.524,,,,,,2.4,0.3,2.7,,
9,,,,NBA,,62.0,,,0.471,0.514,,,,,,4.3,-0.7,3.6,,
10,,,,,,,,,,,,,,,,,,,,
11,1 season,,DNN,NBA,,62.0,,,0.471,0.514,,,,,,4.3,-0.7,3.6,,
12,1 season,,BLB,BAA,,23.0,,,0.463,0.651,,,,,,0.6,0.1,0.8,,
13,1 season,,CHS,BAA,,19.0,,,0.26,0.426,,,,,,-0.2,0.2,-0.1,,
14,1 season,,PRO,BAA,,14.0,,,0.437,0.493,,,,,,1.8,-0.1,1.6,,
15,1 season,,WSC,BAA,,13.0,,,0.476,0.571,,,,,,0.2,0.1,0.3,,
